-	/flower buds*/shape	/flower buds*/shape	/flower buds*/texture	/flower buds*/texture	/flower buds/length* (cm)	/flower buds/length* (cm)	/flower buds/length* (cm)/minimum	/flower buds/length* (cm)/maximum	/flower buds/length*/texture	/flower buds/length*/texture	/flower buds/style*/shape	/flower buds/style*/shape	/flowers*/shape	/flowers*/shape	/flowers*/position	/flowers*/position	/flowers*/margin type	/flowers*/margin type	/flowers*/growth form	/flowers*/growth form	/flowers/colour*/colour	/flowers/colour*/colour	/flowers/length* (cm)	/flowers/length* (cm)	/flowers/length* (cm)/minimum	/flowers/length* (cm)/maximum	/flowers/merosity*/minimum	/flowers/merosity*/maximum	/flowers/merosity*/shape	/flowers/merosity*/shape	/flowers/style*/shape	/flowers/style*/shape	/flowers/style*/texture	/flowers/style*/texture	/fruits*/shape	/fruits*/shape	/fruits*/texture	/fruits*/texture	/fruits*/growth form	/fruits*/growth form	/fruits/colour*/margin type	/fruits/colour*/margin type	/fruits/colour*/colour	/fruits/colour*/colour	/fruits/dimensions* (cm)	/fruits/dimensions* (cm)	/fruits/dimensions* (cm)/minimum	/fruits/dimensions* (cm)/maximum	/fruits/perianth segments*/shape	/fruits/perianth segments*/shape	/fruits/shape*/shape	/fruits/shape*/shape	/habit*/environment	/habit*/environment	/habit*/shape	/habit*/shape	/habit*/hairs	/habit*/hairs	/habit*/colour	/habit*/colour	/habit/basal cataphylls/cataphyll pair number*/minimum	/habit/basal cataphylls/cataphyll pair number*/maximum	/habit/basal cataphylls/relative distance* (cm)	/habit/basal cataphylls/relative distance* (cm)	/habit/basal cataphylls/relative distance* (cm)/minimum	/habit/basal cataphylls/relative distance* (cm)/maximum	/habit/basal cataphylls/relative distance*/shape	/habit/basal cataphylls/relative distance*/shape	/habit/colour*/texture	/habit/colour*/texture	/habit/colour*/colour	/habit/colour*/colour	/habit/epicortical roots*/shape	/habit/epicortical roots*/shape	/habit/epicortical roots*/growth form	/habit/epicortical roots*/growth form	/habit/internodes*/shape	/habit/internodes*/shape	/habit/internodes*/hairs	/habit/internodes*/hairs	/habit/internodes/length* (cm)	/habit/internodes/length* (cm)	/habit/internodes/length* (cm)/minimum	/habit/internodes/length* (cm)/maximum	/habit/stems*/shape	/habit/stems*/shape	/habit/stems*/growth form	/habit/stems*/growth form	/inflorescences*/shape	/inflorescences*/shape	/inflorescences*/texture	/inflorescences*/texture	/inflorescences*/position	/inflorescences*/position	/inflorescences*/margin type	/inflorescences*/margin type	/inflorescences*/hairs	/inflorescences*/hairs	/inflorescences*/growth form	/inflorescences*/growth form	/inflorescences/calyculus*/texture	/inflorescences/calyculus*/texture	/inflorescences/calyculus*/margin type	/inflorescences/calyculus*/margin type	/inflorescences/calyculus*/growth form	/inflorescences/calyculus*/growth form	/inflorescences/fertile internodes/fertile internode number*/minimum	/inflorescences/fertile internodes/fertile internode number*/maximum	/inflorescences/flowers/flower number per bract*/minimum	/inflorescences/flowers/flower number per bract*/maximum	/inflorescences/length* (cm)	/inflorescences/length* (cm)	/inflorescences/length* (cm)/minimum	/inflorescences/length* (cm)/maximum	/inflorescences/peduncle*/shape	/inflorescences/peduncle*/shape	/inflorescences/peduncle*/position	/inflorescences/peduncle*/position	/inflorescences/peduncle/length* (cm)	/inflorescences/peduncle/length* (cm)	/inflorescences/peduncle/length* (cm)/minimum	/inflorescences/peduncle/length* (cm)/maximum	/inflorescences/position*/shape	/inflorescences/position*/shape	/inflorescences/position*/position	/inflorescences/position*/position	/inflorescences/triad pair number*/minimum	/inflorescences/triad pair number*/maximum	/inflorescences/triad peduncle/length* (cm)	/inflorescences/triad peduncle/length* (cm)	/inflorescences/triad peduncle/length* (cm)/minimum	/inflorescences/triad peduncle/length* (cm)/maximum	/leaf blades/shape*/shape	/leaf blades/shape*/shape	/leaves*/shape	/leaves*/shape	/leaves*/position	/leaves*/position	/leaves*/margin type	/leaves*/margin type	/leaves*/growth form	/leaves*/growth form	/leaves/blade/apex*/shape	/leaves/blade/apex*/shape	/leaves/blade/dimensions* (cm)	/leaves/blade/dimensions* (cm)	/leaves/blade/dimensions* (cm)/minimum	/leaves/blade/dimensions* (cm)/maximum	/leaves/blade/shape*/shape	/leaves/blade/shape*/shape	/leaves/blade/shape*/growth form	/leaves/blade/shape*/growth form	/leaves/petiole/length* (cm)	/leaves/petiole/length* (cm)	/leaves/petiole/length* (cm)/minimum	/leaves/petiole/length* (cm)/maximum	/leaves/veins*/minimum	/leaves/veins*/maximum	/leaves/veins*/shape	/leaves/veins*/shape	/petiole*/shape	/petiole*/shape	/petiole*/margin type	/petiole*/margin type	/petiole/blade/apex*/shape	/petiole/blade/apex*/shape	/petiole/blade/base*/shape	/petiole/blade/base*/shape	/petiole/blade/dimensions* (cm)	/petiole/blade/dimensions* (cm)	/petiole/blade/dimensions* (cm)/minimum	/petiole/blade/dimensions* (cm)/maximum	/petiole/blade/dimensions*/shape	/petiole/blade/dimensions*/shape	/petiole/blade/shape*/shape	/petiole/blade/shape*/shape	/petiole/blade/texture*/texture	/petiole/blade/texture*/texture	/petiole/length* (cm)	/petiole/length* (cm)	/petiole/length* (cm)/minimum	/petiole/length* (cm)/maximum	/petiole/veins*/minimum	/petiole/veins*/maximum	/petiole/veins*/shape	/petiole/veins*/shape	/petiole/veins*/position	/petiole/veins*/position	/habitat/altitude* (m)	/habitat/altitude*/environment	/habitat/altitude*/environment				
  	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
EREMOLEPIDACEAE  	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000010000000000	small	0000000000	-	000	-	00000	-	0000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000001000011000000000000	peltate,sessile,short	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
ANTIDAPHNE  	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
Antidaphne viscoidea 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000001100000001	green,grey,whitish	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000010000000001000000000000000	obovate,rounded	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
LORANTHACEAE  	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000100000000000	slender	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0010	shrub	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
CLADOCOLEA  	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	3	5	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000100000000000	slender	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000010000000000	small	0000000000	-	00001	terminal	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	001	regular	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
Cladocolea micrantha 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	< 0.2 cm long	0.2	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000010001000	orange,red	0.5 x 0.3 cm	0.5	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000010000000000000000000100000000000000000000	ellipsoid,ovoid	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000001000000	terete	00	-	to 9.0 cm long	-	-	9.0	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000010000000000000	sessile	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	0.5-3.0 cm long	-	0.5	3.0	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0.1 cm	0.1	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000001000000000000000000000100000000000001000000000000000	apiculate,minute,rounded	to 8.0 x 3.5 cm	-	-	8.0	0000000000000000001000000010000000001000000000000000000000	elliptic,lanceolate,ovate	000	-	0.2-0.5 cm long	-	0.2	0.5	-	3	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
Cladocolea nitida 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000010000000100000000000000000000000000000	elongate,minute	00000	-	00000	-	000	-	0000000000000000000	-	0.45 cm long	0.45	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000010000000000000000	quadrangular	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000001000000000000000	rounded	to 4.0 x 2.0 cm	-	-	4.0	0000000000000000000000000000000010000000000000000000000000	obovate	000	-	ca. 1.0 cm long	1.0	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
Cladocolea sandwithii 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	ca. 0.2 cm long	0.2	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000001000000000000000000000000000000000000000000000	clavate	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000010000000000000	sessile	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	ca. 0.3 cm long	0.3	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000001000000000000000	rounded	to 5.0 x 1.5.0 cm	-	-	5.0	0000000000000000000000000000000010000000000000000000000000	obovate	000	-	0.5 cm long	0.5	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
GAIADENDRON  	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0011	shrub,terrestrial	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000010000000000000	sessile	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00010	lateral	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
