-	/flower buds*/shape	/flower buds*/shape	/flower buds*/texture	/flower buds*/texture	/flower buds/length* (cm)	/flower buds/length* (cm)	/flower buds/length* (cm)/minimum	/flower buds/length* (cm)/maximum	/flower buds/length*/texture	/flower buds/length*/texture	/flower buds/style*/shape	/flower buds/style*/shape	/flowers*/shape	/flowers*/shape	/flowers*/position	/flowers*/position	/flowers*/margin type	/flowers*/margin type	/flowers*/growth form	/flowers*/growth form	/flowers/colour*/colour	/flowers/colour*/colour	/flowers/length* (cm)	/flowers/length* (cm)	/flowers/length* (cm)/minimum	/flowers/length* (cm)/maximum	/flowers/merosity*/minimum	/flowers/merosity*/maximum	/flowers/merosity*/shape	/flowers/merosity*/shape	/flowers/style*/shape	/flowers/style*/shape	/flowers/style*/texture	/flowers/style*/texture	/fruits*/shape	/fruits*/shape	/fruits*/texture	/fruits*/texture	/fruits*/growth form	/fruits*/growth form	/fruits/colour*/margin type	/fruits/colour*/margin type	/fruits/colour*/colour	/fruits/colour*/colour	/fruits/dimensions* (cm)	/fruits/dimensions* (cm)	/fruits/dimensions* (cm)/minimum	/fruits/dimensions* (cm)/maximum	/fruits/perianth segments*/shape	/fruits/perianth segments*/shape	/fruits/shape*/shape	/fruits/shape*/shape	/habit*/environment	/habit*/environment	/habit*/shape	/habit*/shape	/habit*/hairs	/habit*/hairs	/habit*/colour	/habit*/colour	/habit/basal cataphylls/cataphyll pair number*/minimum	/habit/basal cataphylls/cataphyll pair number*/maximum	/habit/basal cataphylls/relative distance* (cm)	/habit/basal cataphylls/relative distance* (cm)	/habit/basal cataphylls/relative distance* (cm)/minimum	/habit/basal cataphylls/relative distance* (cm)/maximum	/habit/basal cataphylls/relative distance*/shape	/habit/basal cataphylls/relative distance*/shape	/habit/colour*/texture	/habit/colour*/texture	/habit/colour*/colour	/habit/colour*/colour	/habit/epicortical roots*/shape	/habit/epicortical roots*/shape	/habit/epicortical roots*/growth form	/habit/epicortical roots*/growth form	/habit/internodes*/shape	/habit/internodes*/shape	/habit/internodes*/hairs	/habit/internodes*/hairs	/habit/internodes/length* (cm)	/habit/internodes/length* (cm)	/habit/internodes/length* (cm)/minimum	/habit/internodes/length* (cm)/maximum	/habit/stems*/shape	/habit/stems*/shape	/habit/stems*/growth form	/habit/stems*/growth form	/inflorescences*/shape	/inflorescences*/shape	/inflorescences*/texture	/inflorescences*/texture	/inflorescences*/position	/inflorescences*/position	/inflorescences*/margin type	/inflorescences*/margin type	/inflorescences*/hairs	/inflorescences*/hairs	/inflorescences*/growth form	/inflorescences*/growth form	/inflorescences/calyculus*/texture	/inflorescences/calyculus*/texture	/inflorescences/calyculus*/margin type	/inflorescences/calyculus*/margin type	/inflorescences/calyculus*/growth form	/inflorescences/calyculus*/growth form	/inflorescences/fertile internodes/fertile internode number*/minimum	/inflorescences/fertile internodes/fertile internode number*/maximum	/inflorescences/flowers/flower number per bract*/minimum	/inflorescences/flowers/flower number per bract*/maximum	/inflorescences/length* (cm)	/inflorescences/length* (cm)	/inflorescences/length* (cm)/minimum	/inflorescences/length* (cm)/maximum	/inflorescences/peduncle*/shape	/inflorescences/peduncle*/shape	/inflorescences/peduncle*/position	/inflorescences/peduncle*/position	/inflorescences/peduncle/length* (cm)	/inflorescences/peduncle/length* (cm)	/inflorescences/peduncle/length* (cm)/minimum	/inflorescences/peduncle/length* (cm)/maximum	/inflorescences/position*/shape	/inflorescences/position*/shape	/inflorescences/position*/position	/inflorescences/position*/position	/inflorescences/triad pair number*/minimum	/inflorescences/triad pair number*/maximum	/inflorescences/triad peduncle/length* (cm)	/inflorescences/triad peduncle/length* (cm)	/inflorescences/triad peduncle/length* (cm)/minimum	/inflorescences/triad peduncle/length* (cm)/maximum	/leaf blades/shape*/shape	/leaf blades/shape*/shape	/leaves*/shape	/leaves*/shape	/leaves*/position	/leaves*/position	/leaves*/margin type	/leaves*/margin type	/leaves*/growth form	/leaves*/growth form	/leaves/blade/apex*/shape	/leaves/blade/apex*/shape	/leaves/blade/dimensions* (cm)	/leaves/blade/dimensions* (cm)	/leaves/blade/dimensions* (cm)/minimum	/leaves/blade/dimensions* (cm)/maximum	/leaves/blade/shape*/shape	/leaves/blade/shape*/shape	/leaves/blade/shape*/growth form	/leaves/blade/shape*/growth form	/leaves/petiole/length* (cm)	/leaves/petiole/length* (cm)	/leaves/petiole/length* (cm)/minimum	/leaves/petiole/length* (cm)/maximum	/leaves/veins*/minimum	/leaves/veins*/maximum	/leaves/veins*/shape	/leaves/veins*/shape	/petiole*/shape	/petiole*/shape	/petiole*/margin type	/petiole*/margin type	/petiole/blade/apex*/shape	/petiole/blade/apex*/shape	/petiole/blade/base*/shape	/petiole/blade/base*/shape	/petiole/blade/dimensions* (cm)	/petiole/blade/dimensions* (cm)	/petiole/blade/dimensions* (cm)/minimum	/petiole/blade/dimensions* (cm)/maximum	/petiole/blade/dimensions*/shape	/petiole/blade/dimensions*/shape	/petiole/blade/shape*/shape	/petiole/blade/shape*/shape	/petiole/blade/texture*/texture	/petiole/blade/texture*/texture	/petiole/length* (cm)	/petiole/length* (cm)	/petiole/length* (cm)/minimum	/petiole/length* (cm)/maximum	/petiole/veins*/minimum	/petiole/veins*/maximum	/petiole/veins*/shape	/petiole/veins*/shape	/petiole/veins*/position	/petiole/veins*/position	/habitat/altitude* (m)	/habitat/altitude*/environment	/habitat/altitude*/environment				
PHTHIRUSA  	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000100000010000000000	perfect,small	00000	-	00000	-	000	-	0000001100000000010	cream,dark red,white	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000100	thick	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	low elevations	0000	-				
Phthirusa coarctata 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000000000	-	0.05 x 0.035 cm	0.05	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000010000000000000000000000000000000000000000	ellipsoid	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	to 3.0 cm long when in fruit	-	-	3.0	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	10000	axillary	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000100000000000000000000000	obtuse	to 6.0 x 3.0 cm	-	-	6.0	0100000000000000000000000000000010000000000000000000000000	(ob)lanceolate,obovate	000	-	to 0.6 cm long	-	-	0.6	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
Phthirusa disjectifolia 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000010000000000000	sessile	00000	-	00000	-	000	-	0000000000000000000	-	to 0.15 cm long	-	-	0.15	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000000000	-	0.3 x 0.2 cm	0.3	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000010000000000000000000000000000000000000000	ellipsoid	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000100000000000	slender	000	-	0000000000000000000000000000000000000000000000000001000000	terete	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000001000000000000	short	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	to 3.0 cm long	-	-	3.0	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000010000000000000000000000000000000000000	elongate	10001	axillary,terminal	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
Phthirusa guyanensis 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000010000000	orange	0.4 x 0.3 cm	0.4	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000010000000000000000000000000000000000000000	ellipsoid	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	to 7.0 cm long	-	-	7.0	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000001000000000000000000000100000000000001000000000000000	apiculate,minute,rounded	to 8.0 x 3.5 cm	-	-	8.0	0000000000000000001000000000011000000000000000000000000000	elliptic,narrow,oblanceolate	000	-	0.5-1.5 cm long	-	0.5	1.5	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
Phthirusa nitens 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	0.5-0.6 cm long	-	0.5	0.6	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000001000000000000000000000000000000000000000001000000	branched,terete	000	-	0000000000000000000000000000000000000000000000010000000000	small	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	to 7.0 cm long	-	-	7.0	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00001	terminal	3	6	0.3-0.4 cm long	-	0.3	0.4	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000010000000000000000000000000000000000000000000000000	attenuate	0000100000000000000000000000000000000000000000000000000000	acute	to 7.0 x 2.0 cm	-	-	7.0	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000010000001000000000000000000000	narrow,ovate	0000000000	-	ca. 0.5 cm long	0.5	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
Phthirusa podoptera 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000000000	-	0.7 x 0.4 cm	0.7	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000010000000000000001000000000000000000000000	ellipsoid,obovoid	0000	-	0000000001000000000000000000000000000000000000100001000000	branched,slender,terete	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	to 9.0 cm long	-	-	9.0	0000000000000000000000000000000000000000000000000000000000	-	00000	-	to 2.5 cm long	-	-	2.5	0000000000000000000000000000000000000000000000000000000000	-	00000	-	5	8	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
Phthirusa pycnostachya 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0100000000000000000	blue	ca. 0.35 x 0.25 cm	0.35	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000100000000000000000100000000000000000000	elliptical,ovoid	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	to 3.5 cm long	-	-	3.5	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000001000000	terete	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	to 2.5 cm (rarely to 8.0 cm; Cremers et al. 12770.0, LEA)	-	-	2.5	0000000000000000000000000000000000000000000000000000000000	-	00000	-	about 1.0 cm or nearly absent	1.0	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	0.2-0.3 cm long	-	0.2	0.3	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000100000000000000000000000	obtuse	to 7.0 x 6.0 cm	-	-	7.0	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000001000000000000000010000000000000000000000	elliptic,orbicular	1000000000	coriaceous	-	-	-	-	-	-	0000000000000000000000000000000000000010000000000000000000	palmate	00000	-	-	0000	-				
Phthirusa pyrifolia 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000010000000000000	sessile	00010	lateral	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	010	mat	00000	-	0000000001010101000	green,orange,purple,red	ca. 0.8 x 0.5 cm	0.8	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000010000000000000000000000000000000000000000	ellipsoid	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	6.0-8.0 cm long or more	-	6.0	8.0	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00001	terminal	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000010000000000000000000000000000000000000000000000000	attenuate	0000000000000000000000000000000000100000000000000000100000	obtuse,truncate	ca. 10.0  x 4.0-5.0 cm but sometimes larger	-	4.0	5.0	0000000000000000000000000001000000000000000000000000000000	large	0000000000000000000000000010000000000000000000000000000000	lanceolate	0000000010	thin	ca. 1.0 cm long	1.0	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
Phthirusa rufa 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000010000000000000	sessile	00000	-	00000	-	000	-	0001000000000000000	bright red	0.5 cm long	0.5	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000010000	purplish	1.0 x 0.6 cm	1.0	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000010000000000000000000000000000000000000000	ellipsoid	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000001000000	terete	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	1.5 cm long	1.5	-	-	0000000000000000000000000000000000000000000000000000000000	-	00001	terminal	-	-	0.2-0.5 cm long	-	0.2	0.5	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000100000000000000000000000000000000000000000000000000000	acute	0000000000000000000000000000000000000000000000000000100000	truncate	to 18.0 x 5.0 cm	-	-	18.0	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000010000000001000000000000000000000	lanceolate,ovate	0001000000	leathery	2.0 cm long	2.0	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
Phthirusa stelis 	0000100000000000000000000000010000000000000000000000000000	acute,narrow	0000000000	-	to 0.6 cm long	-	-	0.6	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0010000000010000000	brick red,orange	to 1.0 x 0.5 cm	-	-	1.0	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000010000000000000000000000000000000000000000	ellipsoid	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00001	terminal	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	to 15.0 cm	-	-	15.0	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	10001	axillary,terminal	-	-	to 0.2 cm	-	-	0.2	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000010000000000000000000000000100000000000000000000000	attenuate,obtuse	0000000000000000000000000000000000000000000000000000000000	-	to 14.0 x 7.5 cm	-	-	14.0	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000001000000000000000000000	ovate	0000000000	-	about 1.0 cm long	1.0	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	lowland	0100	lowland				
