-*	/calyx*	/calyx*/shape	/calyx*/shape	/calyx*/growth form	/calyx*/growth form	/calyx*/colour	/calyx*/colour	/calyx/apex*	/calyx/apex*/shape	/calyx/apex*/shape	/calyx/apex*/margin type	/calyx/apex*/margin type	/calyx/apex*/hairs	/calyx/apex*/hairs	/calyx/apex/hairs*	/calyx/apex/hairs*/shape	/calyx/apex/hairs*/shape	/calyx/apex/hairs*/hairs	/calyx/apex/hairs*/hairs	/calyx/colour*	/calyx/colour*/colour	/calyx/colour*/colour	/calyx/corolla*	/calyx/corolla*/shape	/calyx/corolla*/shape	/calyx/corolla/base*	/calyx/corolla/base*/shape	/calyx/corolla/base*/shape	/calyx/corolla/base*/colour	/calyx/corolla/base*/colour	/calyx/corolla/base/width*	/calyx/corolla/base/width*	/calyx/corolla/base/width*/minimum	/calyx/corolla/base/width*/maximum	/calyx/corolla/colour*	/calyx/corolla/colour*/colour	/calyx/corolla/colour*/colour	/calyx/corolla/length*	/calyx/corolla/length*	/calyx/corolla/length*/minimum	/calyx/corolla/length*/maximum	/calyx/corolla/limbs/width*	/calyx/corolla/limbs/width*	/calyx/corolla/limbs/width*/minimum	/calyx/corolla/limbs/width*/maximum	/calyx/corolla/lobes*	/calyx/corolla/lobes*/shape	/calyx/corolla/lobes*/shape	/calyx/corolla/lobes*/margin type	/calyx/corolla/lobes*/margin type	/calyx/corolla/lobes*/colour	/calyx/corolla/lobes*/colour	/calyx/corolla/lobes/dimensions*	/calyx/corolla/lobes/dimensions*/length	/calyx/corolla/lobes/dimensions*/length	/calyx/corolla/lobes/dimensions*/length/minimum	/calyx/corolla/lobes/dimensions*/length/maximum	/calyx/corolla/lobes/dimensions*/width	/calyx/corolla/lobes/dimensions*/width	/calyx/corolla/lobes/dimensions*/width/minimum	/calyx/corolla/lobes/dimensions*/width/maximum	/calyx/corolla/lobes/shape*	/calyx/corolla/lobes/shape*/shape	/calyx/corolla/lobes/shape*/shape	/calyx/corolla/margins/margin type*	/calyx/corolla/margins/margin type*/margin type	/calyx/corolla/margins/margin type*/margin type	/calyx/corolla/margins/margin type*/hairs	/calyx/corolla/margins/margin type*/hairs	/calyx/corolla/shape*	/calyx/corolla/shape*/shape	/calyx/corolla/shape*/shape	/calyx/corolla/shape*/position	/calyx/corolla/shape*/position	/calyx/corolla/throat*	/calyx/corolla/throat*/hairs	/calyx/corolla/throat*/hairs	/calyx/corolla/throat/hairs*	/calyx/corolla/throat/hairs*/shape	/calyx/corolla/throat/hairs*/shape	/calyx/corolla/throat/hairs*/hairs	/calyx/corolla/throat/hairs*/hairs	/calyx/corolla/throat/hairs*/colour	/calyx/corolla/throat/hairs*/colour	/calyx/corolla/throat/width*	/calyx/corolla/throat/width*	/calyx/corolla/throat/width*/minimum	/calyx/corolla/throat/width*/maximum	/calyx/corolla/tube*	/calyx/corolla/tube*/shape	/calyx/corolla/tube*/shape	/calyx/corolla/tube/length*	/calyx/corolla/tube/length*	/calyx/corolla/tube/length*/minimum	/calyx/corolla/tube/length*/maximum	/calyx/corolla/tube/shape*	/calyx/corolla/tube/shape*/shape	/calyx/corolla/tube/shape*/shape	/calyx/disk*	/calyx/disk*/shape	/calyx/disk*/shape	/calyx/disk*/margin type	/calyx/disk*/margin type	/calyx/disk/gland number*	/calyx/disk/gland number*	/calyx/disk/gland number*/minimum	/calyx/disk/gland number*/maximum	/calyx/disk/gland number*/shape	/calyx/disk/gland number*/shape	/calyx/disk/gland number*/growth form	/calyx/disk/gland number*/growth form	/calyx/free portion of lobes/dimensions*	/calyx/free portion of lobes/dimensions*/length	/calyx/free portion of lobes/dimensions*/length	/calyx/free portion of lobes/dimensions*/length/minimum	/calyx/free portion of lobes/dimensions*/length/maximum	/calyx/free portion of lobes/dimensions*/width	/calyx/free portion of lobes/dimensions*/width	/calyx/free portion of lobes/dimensions*/width/minimum	/calyx/free portion of lobes/dimensions*/width/maximum	/calyx/free portion of lobes/shape*	/calyx/free portion of lobes/shape*/shape	/calyx/free portion of lobes/shape*/shape	/calyx/free portion of lobes/shape*/growth form	/calyx/free portion of lobes/shape*/growth form	/calyx/lobes*	/calyx/lobes*/shape	/calyx/lobes*/shape	/calyx/lobes*/growth form	/calyx/lobes*/growth form	/calyx/lobes/dimensions*	/calyx/lobes/dimensions*/length	/calyx/lobes/dimensions*/length	/calyx/lobes/dimensions*/length/minimum	/calyx/lobes/dimensions*/length/maximum	/calyx/lobes/dimensions*/width	/calyx/lobes/dimensions*/width	/calyx/lobes/dimensions*/width/minimum	/calyx/lobes/dimensions*/width/maximum	/calyx/lobes/dorsal lobes*	/calyx/lobes/dorsal lobes*/shape	/calyx/lobes/dorsal lobes*/shape	/calyx/lobes/dorsal lobes*/growth form	/calyx/lobes/dorsal lobes*/growth form	/calyx/lobes/shape*	/calyx/lobes/shape*/shape	/calyx/lobes/shape*/shape	/calyx/margins/margin type*	/calyx/margins/margin type*/margin type	/calyx/margins/margin type*/margin type	/calyx/margins/margin type*/hairs	/calyx/margins/margin type*/hairs	/calyx/ovary*	/calyx/ovary*/shape	/calyx/ovary*/shape	/calyx/ovary*/position	/calyx/ovary*/position	/calyx/ovary/dimensions*	/calyx/ovary/dimensions*/length	/calyx/ovary/dimensions*/length	/calyx/ovary/dimensions*/length/minimum	/calyx/ovary/dimensions*/length/maximum	/calyx/ovary/dimensions*/width	/calyx/ovary/dimensions*/width	/calyx/ovary/dimensions*/width/minimum	/calyx/ovary/dimensions*/width/maximum	/calyx/ovary/hairs*	/calyx/ovary/hairs*/hairs	/calyx/ovary/hairs*/hairs	/calyx/ovary/shape*	/calyx/ovary/shape*/shape	/calyx/ovary/shape*/shape	/calyx/ovary/shape*/position	/calyx/ovary/shape*/position	/calyx/ovary/stigma*	/calyx/ovary/stigma*/shape	/calyx/ovary/stigma*/shape	/calyx/ovary/stigma*/growth form	/calyx/ovary/stigma*/growth form	/calyx/ovary/style/hairs*	/calyx/ovary/style/hairs*/hairs	/calyx/ovary/style/hairs*/hairs	/calyx/ovary/style/hairs*/colour	/calyx/ovary/style/hairs*/colour	/calyx/ovary/style/length*	/calyx/ovary/style/length*	/calyx/ovary/style/length*/minimum	/calyx/ovary/style/length*/maximum	/calyx/shape*	/calyx/shape*/shape	/calyx/shape*/shape	/calyx/stamens*	/calyx/stamens*/position	/calyx/stamens*/position	/calyx/stamens/anthers*	/calyx/stamens/anthers*/shape	/calyx/stamens/anthers*/shape	/calyx/stamens/anthers*/growth form	/calyx/stamens/anthers*/growth form	/calyx/stamens/relative distance*	/calyx/stamens/relative distance*	/calyx/stamens/relative distance*/minimum	/calyx/stamens/relative distance*/maximum	/calyx/stamens/thecae*	/calyx/stamens/thecae*/shape	/calyx/stamens/thecae*/shape	/calyx/staminodes*	/calyx/staminodes*/shape	/calyx/staminodes*/shape	/calyx/tube/length*	/calyx/tube/length*	/calyx/tube/length*/minimum	/calyx/tube/length*/maximum	/flowers*	/flowers*/shape	/flowers*/shape	/flowers/bracteoles*	/flowers/bracteoles*/shape	/flowers/bracteoles*/shape	/flowers/flower number per inflorescence*	/flowers/flower number per inflorescence*	/flowers/flower number per inflorescence*/minimum	/flowers/flower number per inflorescence*/maximum	/flowers/flower number per inflorescence*/colour	/flowers/flower number per inflorescence*/colour	/flowers/pedicels/hairs*	/flowers/pedicels/hairs*/shape	/flowers/pedicels/hairs*/shape	/flowers/pedicels/hairs*/texture	/flowers/pedicels/hairs*/texture	/flowers/pedicels/hairs*/hairs	/flowers/pedicels/hairs*/hairs	/flowers/pedicels/hairs*/growth form	/flowers/pedicels/hairs*/growth form	/flowers/pedicels/length*	/flowers/pedicels/length*	/flowers/pedicels/length*/minimum	/flowers/pedicels/length*/maximum	/flowers/peduncle*	/flowers/peduncle*/shape	/flowers/peduncle*/shape	/flowers/peduncle/hairs*	/flowers/peduncle/hairs*/shape	/flowers/peduncle/hairs*/shape	/flowers/peduncle/hairs*/texture	/flowers/peduncle/hairs*/texture	/flowers/peduncle/hairs*/hairs	/flowers/peduncle/hairs*/hairs	/flowers/peduncle/hairs*/growth form	/flowers/peduncle/hairs*/growth form	/flowers/peduncle/hairs*/colour	/flowers/peduncle/hairs*/colour	/flowers/peduncle/length*	/flowers/peduncle/length*	/flowers/peduncle/length*/minimum	/flowers/peduncle/length*/maximum	/fruits*	/fruits*/growth form	/fruits*/growth form	/fruits/colour*	/fruits/colour*/colour	/fruits/colour*/colour	/habit*	/habit*/environment	/habit*/environment	/habit*/shape	/habit*/shape	/habit*/texture	/habit*/texture	/habit*/growth form	/habit*/growth form	/habit/growth form*	/habit/growth form*/texture	/habit/growth form*/texture	/habit/growth form*/position	/habit/growth form*/position	/habit/growth form*/growth form	/habit/growth form*/growth form	/habit/height*	/habit/height*	/habit/height*/minimum	/habit/height*/maximum	/habit/height*/shape	/habit/height*/shape	/habit/length*	/habit/length*	/habit/length*/minimum	/habit/length*/maximum	/leaves*	/leaves*/shape	/leaves*/shape	/leaves*/growth form	/leaves*/growth form	/leaves*/colour	/leaves*/colour	/leaves/blade/apex*	/leaves/blade/apex*/shape	/leaves/blade/apex*/shape	/leaves/blade/base*	/leaves/blade/base*/shape	/leaves/blade/base*/shape	/leaves/blade/base*/hairs	/leaves/blade/base*/hairs	/leaves/blade/base/hairs*	/leaves/blade/base/hairs*/shape	/leaves/blade/base/hairs*/shape	/leaves/blade/base/hairs*/texture	/leaves/blade/base/hairs*/texture	/leaves/blade/base/hairs*/hairs	/leaves/blade/base/hairs*/hairs	/leaves/blade/base/hairs*/colour	/leaves/blade/base/hairs*/colour	/leaves/blade/base/shape*	/leaves/blade/base/shape*/shape	/leaves/blade/base/shape*/shape	/leaves/blade/dimensions*	/leaves/blade/dimensions*/length	/leaves/blade/dimensions*/length	/leaves/blade/dimensions*/length/minimum	/leaves/blade/dimensions*/length/maximum	/leaves/blade/dimensions*/width	/leaves/blade/dimensions*/width	/leaves/blade/dimensions*/width/minimum	/leaves/blade/dimensions*/width/maximum	/leaves/blade/larger blade/dimensions*	/leaves/blade/larger blade/dimensions*/length	/leaves/blade/larger blade/dimensions*/length	/leaves/blade/larger blade/dimensions*/length/minimum	/leaves/blade/larger blade/dimensions*/length/maximum	/leaves/blade/larger blade/dimensions*/width	/leaves/blade/larger blade/dimensions*/width	/leaves/blade/larger blade/dimensions*/width/minimum	/leaves/blade/larger blade/dimensions*/width/maximum	/leaves/blade/margins/margin type*	/leaves/blade/margins/margin type*/shape	/leaves/blade/margins/margin type*/shape	/leaves/blade/margins/margin type*/margin type	/leaves/blade/margins/margin type*/margin type	/leaves/blade/shape*	/leaves/blade/shape*/shape	/leaves/blade/shape*/shape	/leaves/blade/texture*	/leaves/blade/texture*/texture	/leaves/blade/texture*/texture	/leaves/petiole/hairs*	/leaves/petiole/hairs*/hairs	/leaves/petiole/hairs*/hairs	/leaves/petiole/hairs*/colour	/leaves/petiole/hairs*/colour	/leaves/petiole/length*	/leaves/petiole/length*	/leaves/petiole/length*/minimum	/leaves/petiole/length*/maximum	/mature berries/colour*	/mature berries/colour*/colour	/mature berries/colour*/colour	/mature berries/dimensions*	/mature berries/dimensions*/length	/mature berries/dimensions*/length	/mature berries/dimensions*/length/minimum	/mature berries/dimensions*/length/maximum	/mature berries/dimensions*/width	/mature berries/dimensions*/width	/mature berries/dimensions*/width/minimum	/mature berries/dimensions*/width/maximum	/mature capsules/colour*	/mature capsules/colour*/position	/mature capsules/colour*/position	/mature capsules/colour*/colour	/mature capsules/colour*/colour	/mature capsules/dimensions*	/mature capsules/dimensions*/length	/mature capsules/dimensions*/length	/mature capsules/dimensions*/length/minimum	/mature capsules/dimensions*/length/maximum	/mature capsules/dimensions*/width	/mature capsules/dimensions*/width	/mature capsules/dimensions*/width/minimum	/mature capsules/dimensions*/width/maximum	/mature capsules/shape*	/mature capsules/shape*/shape	/mature capsules/shape*/shape	/mature capsules/shape*/position	/mature capsules/shape*/position	/stems*	/stems*/shape	/stems*/shape	/stems*/growth form	/stems*/growth form	/stems/growth form*	/stems/growth form*/growth form	/stems/growth form*/growth form	/stems/hairs*	/stems/hairs*/hairs	/stems/hairs*/hairs	/stems/hairs*/colour	/stems/hairs*/colour	/habitat*	/habitat*/environment	/habitat*/environment	/habitat*/shape	/habitat*/shape	/habitat*/growth form	/habitat*/growth form	/habitat*/colour	/habitat*/colour	/habitat/altitude*	/habitat/altitude*	/habitat/altitude*/minimum	/habitat/altitude*/maximum	/habitat/altitude*/environment	/habitat/altitude*/environment			
GESNERIACEAE  	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	0000000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000	-	00000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000000000000	-	-	0000000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000	-	-	-	-	-	-	0000000000000000000000000	-	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000	-	0000000000000000000000000	-	-	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	00000000	-	00000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	0000	-	-	00000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000000000000	-	0000000000000000000000000	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	-	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	-	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	00000000	-	00000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	0000	-	-	-	-	-	-	-	-	-	-	-	00000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	0000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	-	00000000000000000000000	-	0000000000000000000000000	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	0000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	Flowers perfect, often protandrous, usually zygomorphic, rarely nearly actinomorphic;      	0000000000000000100000000000000000000000000000000000000000000000	perfect	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000000000000000000000	-	00000000000000	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000000000000000000000	-	00000000000000	-	0000000000000000000000000	-	-	-	-	-	Fruit a berry, or a 	00000000000000	-	-	0000000000000000000000000	-	Terrestrial or epiphytic perennial herbs, subshrubs, shrubs, small trees or lianas, sometimes arising from tubers, scaly rhizomes or stolons, rarely acaulescent;      	00001100000000	subshrub,epiphytic	0000000000000000000000000000000000000000010000000000000000000000	small	0000000001	scaly	00000000000000	-	-	0000000000	-	0000	-	00000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	Leaves estipulate, usually petiolate, opposite, rarely whorled or alternate, simple;      	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	0000000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000000000000000000000	-	0000000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	membranous, fleshy or coriaceous	0010001010	coriaceous,fleshy,membranous	-	00000000000000000000000	-	0000000000000000000000000	-	-	-	-	-	-	0000000000000000000000000	-	-	-	-	-	-	-	-	-	-	-	0000	-	0000000000000000000000000	-	-	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	0000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	-	00000000000000	-	-	00000000000000000000000	-	0000000000000000000000000	-	-	00000000000000	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	0000000000000000000000000	-	-	-	-	-	00000000000000	-			
ALLOPLECTUS  	Calyx lobes |, nearly free, 	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000100	free	0000000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000	-	00000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000000000000	-	-	0000000000000000000000000	-	corolla 	0000000000000000000000000000000000000000000000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000	-	-	-	-	-	yellow or red	0001000000000000010000000	red,yellow	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000	-	0000000000000000000000000	-	-	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	00000000	-	00000000000000000000000	-	tubular	0000000000001000000000000000000000000000000000000000000000000000	tubular	0000	-	-	00000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000000000000	-	0000000000000000000000000	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	disc a single dorsal, large, sometimes 	0000000000000000000000000000000000000000000000000000000010000000	large	00000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	-	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	-	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	00000000	-	00000000000000000000000	-	ovary superior,       	0000000000000000000000000000000000000000000000000000000000000000	-	1000	superior	-	-	-	-	-	-	-	-	-	-	00000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	0000	-	stigma stomatomorphic to 	0000000000000000000000000000000000000000000000000000000000000000	-	00010000000000	mat	-	00000000000000000000000	-	0000000000000000000000000	-	-	-	-	-	ovate to cordate at base	0000100000000000000000000000100000000000000000000000000000000000	cordate,ovate	stamens included,       	0000	-	anthers coherent or becoming free, dehiscing by longitudinal slits, 	0000000100000000000000000000000000000000000000000000000000000000	dehiscing	00000000000100	free	-	-	-	-	thecae parallel; 	0000000000000000000000000000000000000000000000000000000000000000	-	staminode small; 	0000000000000000000000000000000000000000010000000000000000000000	small	-	-	-	-	Flowers |, epedunculate inflorescences; 	0000000000000000000000000000000000000000000000000000000000000000	-	bracteoles small; 	0000000000000000000000000000000000000000010000000000000000000000	small	few-flowered	-	-	-	0000000000000000010000000	red	-	0000000000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000000000000000000000	-	00000000000000	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000000000000000000000	-	00000000000000	-	0000000000000000000000000	-	-	-	-	-	Fruit a 	00000000000000	-	green	0000000000000000000000001	green	Terrestrial or epiphytic, caulescent, |, coarse herbs or shrubs, without modified stems. 	01001000000000	shrub,epiphytic	0000000000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000000000000	-	clambering or erect	0000000000	-	0000	-	00000001001000	clambering,erect	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	Leaves opposite, usually equal in a pair, venation pinnate, foliar nectaries absent. 	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	0000000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000000000000000000000	-	0000000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	0000000000	-	-	00000000000000000000000	-	0000000000000000000000000	-	-	-	-	-	-	0000000000000000000000000	-	-	-	-	-	-	-	-	-	-	-	0000	-	0000000000000000000000000	-	-	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	0000	-	Stems rarely branched. 	0000000000000000000000000000000000000000000000000000000000100000	branched	00000000000000	-	-	00000000000000	-	-	00000000000000000000000	-	0000000000000000000000000	-	mostly growing in 	00000000000000	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	0000000000000000000000000	-	lowland to mid-elevation	-	-	-	00000000010000	lowland			
Alloplectus cristatus 	Calyx angulate, 	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	0000000000000000000000000	-	apex acute to acuminate, 	0000000000000000000000000000000000000000000000100000100000000000	acuminate,acute	00000000	-	00000000000000000000000	-	on both sides strigillose	0000000000000000000000000000000000000000000000000000000000000000	-	00100000000000000000000	strigillose	pale pink to dark red	0000000100000000010000000	pink,red	corolla oblique in calyx, 	0000010000000000000000000000000000000000000000000000000000000000	oblique	base gibbous posteriorly, |, middle subventricose, 	0000000000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000	-	0.3-0.5 cm wide	-	0.3	0.5	yellow	0001000000000000000000000	yellow	2.5-3.5 cm long	-	2.5	3.5	0.9-1.4 cm wide	-	0.9	1.4	lobes subequal, 	0000000000000000000000000000000000000000000000000000000000000000	-	00000000	-	0000000000000000000000000	-	0.2-0.4 x 0.25-0.4 cm wide	0.2-0.4	-	0.2	0.4	0.25-0.4	-	0.25	0.4	rounded	1000000000000000000000000000000000000000000000000000000000000000	rounded	minutely dentate	00000001	dentate	00000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	0000	-	throat slightly constricted, 	00000000000000000000000	-	outside densely pilose, pilosulous, inside glabrous	0000000000000000000000000000000000000000000000000000000000000000	-	00000010000100000000000	glabrous,pilose	0000000000000000000000000	-	0.5-0.8 cm wide	-	0.5	0.8	tube 	0000000000000000000000000000000000000000000000000000000000000000	-	2-3 cm long	-	2	3	cylindric	0000000000000000000000000000000000000000000001000000000000000000	cylindric	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	1.2-2 x 2 cm	1.2-2	-	1.2	2	2	2	-	-	broadly ovate	0000100000000000000000000000000000000000000000000000000000000000	ovate	00000000000000	-	lobes connate at base, 	0000000000000000000000000000000000000000000000000000000000000000	-	00000100000000	connate	-	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	sharply dentate-serrate	00100001	dentate,serrate	00000000000000000000000	-	ovary 	0000000000000000000000000000000000000000000000000000000000000000	-	0000	-	0.4-0.5 x 0.3 cm	0.4-0.5	-	0.4	0.5	0.3	0.3	-	-	strigillose	00100000000000000000000	strigillose	ovoid	0000000000000000000000000000000000000000000000000000000000010000	ovoid	0000	-	stigma stomatomorphic. 	0000000000000000000000000000000000000000000000000000000000000000	-	00010000000000	mat	glabrous	00000010000000000000000	glabrous	0000000000000000000000000	-	ca. 2.5 cm long	2.5	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	stamens 	0000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	adnate ca. 0.4 cm to base of corolla tube	0.4	-	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	ca. 0.3 cm long	0.3	-	-	Flowers 	0000000000000000000000000000000000000000000000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000	-	hirsutulous	0000000000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000000000000000000000	-	00000000000000	-	2.5-8 cm long	-	2.5	8	-	0000000000000000000000000000000000000000000000000000000000000000	-	-	0000000000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000000000000000000000	-	00000000000000	-	0000000000000000000000000	-	-	-	-	-	-	00000000000000	-	-	0000000000000000000000000	-	Epiphytic subshrub, woody climber or liana, 	00000100000000	subshrub	0000000000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000000000000	-	-	0000000000	-	0000	-	00000000000000	-	to 3 m	-	-	3	0000000000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	Leaves equal or subequal in a pair;      	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	0000000000000000000000000	-	apex acute to acuminate, 	0000000000000000000000000000000000000000000000100000100000000000	acuminate,acute	base 	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000000000000	-	above strigose or substrigose, below strigillose, hirsutulous on midvein and veins	0000000000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00010000000000000000000	strigose	0000000000000000000000000	-	somewhat rounded	1000000000000000000000000000000000000000000000000000000000000000	rounded	3-10 x 1.5-4.5 cm	3-10	-	3	10	1.5-4.5	-	1.5	4.5	-	-	-	-	-	-	-	-	-	crenate-serrulate	0000000000000000000000000000000000000000000000000000000000000000	-	01000010	crenate,serrulate	oblong-elliptic to oblong-ovate	0000100000000000000000000000000000000000000000000000000000000100	oblong-elliptic,ovate	papyraceous when dry	0100000000	papyraceous	densely strigose to subtomentose, densely pilosulous	00010100000000000100000	pilosulous,strigose,tomentose	0000000000000000000000000	-	0.3-3.5 cm long	-	0.3	3.5	-	0000000000000000000000000	-	-	-	-	-	-	-	-	-	-	white	0000	-	0000000000000001000000000	white	ca. 1 x 1 cm	1	1	-	-	1	1	-	-	globose	0100000000000000000000000000000000000000000000000000000000000000	globose	0000	-	Stem woody at base, 	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	scandent	00100000000000	scandent	glabrescent below, hirsutulous at apex	00000000000000000001000	glabrescent	0000000000000000000000000	-	-	00000000000000	-	0000000000000000000000000000000000000000000000000000000000000000	-	00000000000000	-	0000000000000000000000000	-	-	-	-	-	00000000000000	-			
