-	/flower buds*	/flower buds*/shape	/flower buds*/texture	/flower buds/length*	/flower buds/length*/texture	/flower buds/style*	/flower buds/style*/shape	/flowers*	/flowers*/shape	/flowers*/position	/flowers*/margin type	/flowers*/growth form	/flowers/colour*	/flowers/colour*/colour	/flowers/length*	/flowers/merosity*	/flowers/merosity*/shape	/flowers/style*	/flowers/style*/shape	/flowers/style*/texture	/fruits*	/fruits*/shape	/fruits*/texture	/fruits*/growth form	/fruits/colour*	/fruits/colour*/margin type	/fruits/colour*/colour	/fruits/dimensions*	/fruits/perianth segments*	/fruits/perianth segments*/shape	/fruits/shape*	/fruits/shape*/shape	/habit*	/habit*/environment	/habit*/shape	/habit*/hairs	/habit*/colour	/habit/basal cataphylls/cataphyll pair number*	/habit/basal cataphylls/relative distance*	/habit/basal cataphylls/relative distance*/shape	/habit/colour*	/habit/colour*/texture	/habit/colour*/colour	/habit/epicortical roots*	/habit/epicortical roots*/shape	/habit/epicortical roots*/growth form	/habit/internodes*	/habit/internodes*/shape	/habit/internodes*/hairs	/habit/internodes/length*	/habit/stems*	/habit/stems*/shape	/habit/stems*/growth form	/inflorescences*	/inflorescences*/shape	/inflorescences*/texture	/inflorescences*/position	/inflorescences*/margin type	/inflorescences*/hairs	/inflorescences*/growth form	/inflorescences/calyculus*	/inflorescences/calyculus*/texture	/inflorescences/calyculus*/margin type	/inflorescences/calyculus*/growth form	/inflorescences/fertile internodes/fertile internode number*	/inflorescences/flowers/flower number per bract*	/inflorescences/length*	/inflorescences/peduncle*	/inflorescences/peduncle*/shape	/inflorescences/peduncle*/position	/inflorescences/peduncle/length*	/inflorescences/position*	/inflorescences/position*/shape	/inflorescences/position*/position	/inflorescences/triad pair number*	/inflorescences/triad peduncle/length*	/leaf blades/shape*	/leaf blades/shape*/shape	/leaves*	/leaves*/shape	/leaves*/position	/leaves*/margin type	/leaves*/growth form	/leaves/blade/apex*	/leaves/blade/apex*/shape	/leaves/blade/dimensions*	/leaves/blade/shape*	/leaves/blade/shape*/shape	/leaves/blade/shape*/growth form	/leaves/petiole/length*	/leaves/veins*	/leaves/veins*/shape	/petiole*	/petiole*/shape	/petiole*/margin type	/petiole/blade/apex*	/petiole/blade/apex*/shape	/petiole/blade/base*	/petiole/blade/base*/shape	/petiole/blade/dimensions*	/petiole/blade/dimensions*/shape	/petiole/blade/shape*	/petiole/blade/shape*/shape	/petiole/blade/texture*	/petiole/blade/texture*/texture	/petiole/length*	/petiole/veins*	/petiole/veins*/shape	/petiole/veins*/position	/plant sexuality*	/habitat/altitude*	/habitat/altitude*/environment	
Gaiadendron punctatum 	-	-	-	-	-	-	-	Flowers commonly 	-	-	-	-	golden yellow (rarely white, especially in central Colombia)	gold,white	-	-	-	style straight,       	-	-	Fruit a |, lacking a haustorial disk; 	-	-	-	dull orange	-	orange	-	-	-	-	-	Shrub or small tree, mostly terrestrial, sometimes epiphytic on trees while parasitizing other epiphytes, 	epiphytic,terrestrial	small	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves in pairs, shiny, |, distinct; |, 	-	-	-	-	apex slightly attenuate, 	attenuate	to 8 x 4 cm	broadly lanceolate to ovate	lanceolate,ovate	-	about 1 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
ORYCTANTHUS  	-	-	-	-	-	-	-	Flowers bisexual, small, 	small	-	-	-	yellow to dark red	dark red	-	6-merous (in the Guianas species)	-	style straight, with scarcely differentiated stigma. 	-	-	Fruit |, dicotylous embryo, 	-	-	-	green, yellow-green, red to purple or black	-	black,green,purple,red	-	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	epicortical roots from base of plant but not from stems, sometimes lacking at least at maturity. 	-	mat	-	-	-	-	-	-	-	Inflorescences |, individually a spike, 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	solitary in leaf axil or sometimes clustered, sometimes arranged in a terminal, compound, squamate inflorescence	-	terminal	-	-	-	-	Leaves paired, 	-	-	-	-	-	-	-	-	-	-	-	venation palmate or pinnate, containing characteristic stellate fiber bundles along smaller veins. 	palmate,small	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Oryctanthus alveolatus 	-	-	-	-	-	-	-	Flowers strongly inclined forward, |, slightly less than half of which is ovary; |, strongly dimorphic; 	-	-	-	-	-	-	ca. 0.3 cm long	-	-	style reaching to upper anthers,       	-	-	Fruit |, inclined forward at about 45°.	-	-	-	greenish, apparently becoming reddish purple, sometimes with yellow base	-	green,purple,reddish	-	-	-	ovoid	ovoid	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	stems stout, terete. 	terete	-	Inflorescence |, when |, panicle-like compound groups where subtended by scale-leaves; 	-	-	-	-	-	-	-	-	-	-	-	-	to 5 cm long	peduncle stout, 	-	-	to 1 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	-	to 7 x 6 (14 x 11 cm), but commonly smaller	small	varying from orbicular to cordate, broadly ovate or rather narrowly elliptical	cordate,elliptical,narrow,orbicular,ovate	-	-	-	venation clearly palmate at least in broad-leaved forms,       	palmate	-	-	-	-	
Oryctanthus florulentus 	-	-	-	-	-	-	-	Flowers |, somewhat angular, |, 	angular	-	-	-	greenish, orange, or light red	green,orange,red	ca. 0.2 cm long	-	-	-	-	-	Fruit |, nearly perpendicular to axis.	-	-	-	orange-red	-	orange,red	-	-	-	rather bluntly elliptical	elliptical	     	-	-	-	-	-	-	-	-	-	-	-	-	-	internodes usually 	-	-	3 cm long or less	stems sharply angular until older, when becoming more or less terete; 	angular,terete	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Petiole |, rounded at apex, acute at base; 	acute,rounded	-	-	-	-	-	mostly about 4 x 2 cm, rarely to 7.5 x 3.5 cm	-	broadly lanceolate	lanceolate	rather thin	thin	0.3 cm long	venation pinnate. 	-	-	-	mostly at low elevations	-	
Oryctanthus occidentalis 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Oryctanthus occidentalis subsp.continentalis	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	-	-	Fruit |, perpendicular to axis.	-	-	-	green or green with yellow or red	-	green,red	0.3 (0.2) x 0.2 cm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves |, variable in shape and venation, 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
ORYCTINA  	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	6-merous, sessile; 	sessile	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	at least some with basal epicortical roots. 	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves decussate, lacking stellate fiber bundles. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Oryctina atrolineata 	-	-	-	-	-	-	-	Flowers unisexual?, |, strongly dimorphic as are the minute, sessile, 	minute,sessile	-	-	-	-	-	0.2 cm long	-	-	style swollen in fusiform fashion in its upper portion,       	fusiform	-	Fruit barrel-shaped, 	-	-	-	waxy white when dry, with lacerate, brown calyculus	lacerate	brown,white	0.35 x 0.2 cm	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	-	-	-	internodes more or less terete, furfuraceous when young, glabrescent. 	terete	glabrescent	-	-	-	-	Flowers in small clusters in leaf axils, forming extremely short, sessile, 	sessile,short,small	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Petiole |, 	-	-	apex rounded, often emarginate, 	rounded	base tapering abruptly to petiole; 	-	to 2 x 1.5 cm	-	broadly obovate to nearly orbicular	obovate,orbicular	fleshy	fleshy	0.1 cm long	venation obscure except for lower midrib which, when dry, forms a straight, dark line continuous at apex with dark leaf margin. 	-	-	-	-	-	
Oryctina myrsinites 	-	-	-	-	-	-	-	Flowers |, alternatingly small and button-like and larger, cordate; |, |, irregularly lacerate, |, straight. 	cordate,large,small	-	lacerate	regular	-	-	0.15 cm long	-	-	-	-	-	Fruit ovoid, |, drying |, sclerotic, torn, conspicuous on truncate apex.	ovoid,truncate	-	-	waxy white	-	white	0.3 x 0.2 cm	-	-	-	-	Sparsely branched plants with furfuraceous, slender internodes 	-	branched,slender	-	-	-	-	-	chocolate-brown	-	brown	epicortical roots only from base of plant; 	-	-	-	-	-	-	-	-	-	Inflorescence extremely short, spike-like, often several per axil, individual flowers sessile, subtending prophylls and bracts |, somewhat carinate, massive, glabrous, bracts caducous; 	carinate,sessile,short	-	-	-	glabrous	-	-	-	-	-	-	-	nearly 0.1 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Petiole |, 	-	-	apex truncate to slightly emarginate, 	truncate	base acute, petiole, 	acute	mostly 2 x 1 cm, up to 4 x 2.5 cm	-	obovate	obovate	-	-	0.1-0.2 cm long	-	-	-	-	-	-	
PHTHIRUSA  	-	-	-	-	-	-	-	Flowers perfect or plants dioecious, |, small, 	perfect,small	-	-	-	dark red to creamy white	cream,dark red,white	-	4- or mostly 6-merous	-	style rather massive, with shape of anthers impressed upon it, and thus of uneven thickness. 	-	thick	     	-	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	usually epicortical roots from base of plant and, in some, also from branches. 	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves paired, petiolate. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	low elevations	-	
Phthirusa coarctata 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Fruit |, 	-	-	-	yellow	-	-	0.5 x 0.35 mm	-	-	ellipsoid	ellipsoid	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Inflorescence solitary, 	-	-	-	-	-	-	-	-	-	-	-	-	to 3 cm long when in fruit	-	-	-	-	axillary	-	axillary	-	-	-	-	     	-	-	-	-	apex obtuse, 	obtuse	to 6 x 3 cm	(ob)lanceolate to somewhat obovate	(ob)lanceolate,obovate	-	to 0.6 cm long	venation pinnate. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Phthirusa disjectifolia 	-	-	-	-	-	-	-	Flowers |, in paired, sessile triads; 	sessile	-	-	-	-	-	to 0.15 cm long	4-merous	-	-	-	-	Fruit |, 	-	-	-	-	-	-	0.3 x 0.2 cm	-	-	ellipsoid	ellipsoid	     	-	-	-	-	-	-	-	-	-	-	basal epicortical roots few and slender; 	slender	-	internodes terete. 	terete	-	-	-	-	-	Inflorescence |, each |, very short-pedunculate. 	short	-	-	-	-	-	-	-	-	-	-	-	to 3 cm long	-	-	-	-	axillary and/or in elongated, terminal compound groups	elongate	axillary,terminal	-	-	-	-	Leaves 	-	-	-	-	-	-	-	-	-	-	-	venation obscure. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Phthirusa guyanensis 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Fruit |, 	-	-	-	pale orange	-	orange	0.4 x 0.3 cm	-	-	ellipsoid	ellipsoid	     	-	-	-	-	-	-	-	-	-	-	-	-	-	internodes 	-	-	to 7 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	apex rounded to very slightly emarginate, minutely apiculate, 	apiculate,minute,rounded	to 8 x 3.5 cm	oblanceolate to narrowly elliptic	elliptic,narrow,oblanceolate	-	0.5-1.5 cm long	venation pinnate, with 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Dioecious, male inflorescence not seen. 	-	-	
Phthirusa nitens 	-	-	-	-	-	-	-	Flowers 	-	-	-	-	-	-	0.5-0.6 cm long	-	-	-	-	-	Fruit not known.	-	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	stems terete, sparsely branched. 	branched,terete	-	Inflorescence solitary in leaf axils but also in small, |, with 	small	-	-	-	-	-	-	-	-	-	-	-	to 7 cm long	-	-	-	-	terminal	-	terminal	3-6 pairs	0.3-0.4 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Petiole |, 	-	-	apex attenuate, 	attenuate	base acute. 	acute	to 7 x 2 cm	-	narrowly ovate	narrow,ovate	-	-	ca. 5 mm long	-	-	-	Dioecious. 	-	-	
Phthirusa podoptera 	-	-	-	-	-	-	-	Flowers bisexual. 	-	-	-	-	-	-	-	-	-	-	-	-	Fruit 	-	-	-	yellow	-	-	0.7 x 0.4 cm	-	-	obovoid-ellipsoid	ellipsoid,obovoid	Leafy plants, sparsely branched with long, slender, slightly compressed shoots soon becoming terete. 	-	branched,slender,terete	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Inflorescence |, with |, with 	-	-	-	-	-	-	-	-	-	-	-	-	to 9 cm long	inflorescence peduncle 	-	-	to 2.5 cm long	-	-	-	5-8 pairs	-	-	-	Leaves |, 	-	-	-	-	-	-	-	-	-	-	-	venation pinnate. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Phthirusa pycnostachya 	-	-	-	-	-	-	-	Flowers bisexual. 	-	-	-	-	-	-	-	-	-	-	-	-	Fruit |, 	-	-	-	blue and yellow	-	blue	ca. 0.35 x 0.25 cm	-	-	ovoid-elliptical	elliptical,ovoid	     	-	-	-	-	-	-	-	-	-	-	basal epicortical roots present; 	-	-	internodes 	-	-	to 3.5 cm long	-	-	-	Inflorescences |, terete, without basal crater, beyond which 	terete	-	-	-	-	-	-	-	-	-	-	-	to 2.5 cm (rarely to 8 cm; Cremers et al. 12770, LEA)	peduncle 	-	-	about 1 cm or nearly absent	-	-	-	-	0.2-0.3 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Petiole |, 	-	-	-	-	base obtuse; 	obtuse	to 7 x 6 cm	-	broadly elliptic to nearly orbicular	elliptic,orbicular	coriaceous	coriaceous	-	a number of strong palmate veins nearly reaching the apex. 	palmate	-	-	-	-	
Phthirusa pyrifolia 	-	-	-	-	-	-	-	Flowers sessile, laterals with 	sessile	lateral	-	-	-	-	-	-	-	-	-	-	Fruit |, rather blunt, at maturity 	-	-	mat	bright orange red with yellowish apex and dark, purple-green base	-	green,orange,purple,red	ca. 0.8 x 0.5 cm	-	-	ellipsoid	ellipsoid	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Inflorescence 	-	-	-	-	-	-	-	-	-	-	-	-	6-8 cm long or more	-	-	-	-	sometimes clustered but not in terminal groups	-	terminal	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Petiole distinct, |, somewhat compressed and keeled; |, shiny when fresh, |, 	-	-	apex somewhat attenuate or even mucronate, 	attenuate	base obtuse to truncate; 	obtuse,truncate	ca. 10 (-18) x 4-5 cm but sometimes larger	large	broadly lanceolate	lanceolate	rather thin	thin	ca. 1 cm long	venation pinnate. 	-	-	-	-	-	
Phthirusa rufa 	-	-	-	-	-	-	-	Flowers sessile, |, dimorphic, |, 	sessile	-	-	-	yellowish to bright red	bright red	0.5 cm long	-	-	style 	-	-	Fruit 	-	-	-	purplish	-	purplish	1 x 0.6 cm	-	-	ellipsoid	ellipsoid	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	stems terete. 	terete	-	Inflorescence solitary and simple when in axils of several pairs of upper leaves, |, often grading into a 	-	-	-	-	-	-	-	-	-	-	-	-	-	peduncle 	-	-	1.5 cm long	terminal	-	terminal	-	0.2-0.5 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Petiole |, 	-	-	apex acute, 	acute	base truncate or nearly so; 	truncate	to 18 x 5 cm	-	ovate-lanceolate	lanceolate,ovate	leathery	leathery	2 cm long	venation pinnate,       	-	-	Dioecious. 	-	-	
Phthirusa stelis 	Flower bud |, female rather acute and narrow, male blunt. 	acute,narrow	-	to 0.6 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Fruit 	-	-	-	brick red to orange	-	brick red,orange	to 1 x 0.5 cm	-	-	ellipsoid	ellipsoid	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Inflorescence |, in the former case always and in the latter case often compound, consisting of a terminal raceme plus |, terminating in a bract and 	-	-	terminal	-	-	-	-	-	-	-	-	-	to 15 cm	-	-	-	-	both terminal and axillary	-	axillary,terminal	about 12 pairs	to 0.2 cm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Petiole |, 	-	-	apex usually attenuate and base obtuse. 	attenuate,obtuse	-	-	to 14 x 7.5 cm	-	broadly ovate	ovate	-	-	about 1 cm long	-	-	-	Dioecious. 	lowland	lowland	
