-	/flower buds*	/flower buds*/shape	/flower buds*/texture	/flower buds/length*	/flower buds/length*/texture	/flower buds/style*	/flower buds/style*/shape	/flowers*	/flowers*/shape	/flowers*/position	/flowers*/margin type	/flowers*/growth form	/flowers/colour*	/flowers/colour*/colour	/flowers/length*	/flowers/merosity*	/flowers/merosity*/shape	/flowers/style*	/flowers/style*/shape	/flowers/style*/texture	/fruits*	/fruits*/shape	/fruits*/texture	/fruits*/growth form	/fruits/colour*	/fruits/colour*/margin type	/fruits/colour*/colour	/fruits/dimensions*	/fruits/perianth segments*	/fruits/perianth segments*/shape	/fruits/shape*	/fruits/shape*/shape	/habit*	/habit*/environment	/habit*/shape	/habit*/hairs	/habit*/colour	/habit/basal cataphylls/cataphyll pair number*	/habit/basal cataphylls/relative distance*	/habit/basal cataphylls/relative distance*/shape	/habit/colour*	/habit/colour*/texture	/habit/colour*/colour	/habit/epicortical roots*	/habit/epicortical roots*/shape	/habit/epicortical roots*/growth form	/habit/internodes*	/habit/internodes*/shape	/habit/internodes*/hairs	/habit/internodes/length*	/habit/stems*	/habit/stems*/shape	/habit/stems*/growth form	/inflorescences*	/inflorescences*/shape	/inflorescences*/texture	/inflorescences*/position	/inflorescences*/margin type	/inflorescences*/hairs	/inflorescences*/growth form	/inflorescences/calyculus*	/inflorescences/calyculus*/texture	/inflorescences/calyculus*/margin type	/inflorescences/calyculus*/growth form	/inflorescences/fertile internodes/fertile internode number*	/inflorescences/flowers/flower number per bract*	/inflorescences/length*	/inflorescences/peduncle*	/inflorescences/peduncle*/shape	/inflorescences/peduncle*/position	/inflorescences/peduncle/length*	/inflorescences/position*	/inflorescences/position*/shape	/inflorescences/position*/position	/inflorescences/triad pair number*	/inflorescences/triad peduncle/length*	/leaf blades/shape*	/leaf blades/shape*/shape	/leaves*	/leaves*/shape	/leaves*/position	/leaves*/margin type	/leaves*/growth form	/leaves/blade/apex*	/leaves/blade/apex*/shape	/leaves/blade/dimensions*	/leaves/blade/shape*	/leaves/blade/shape*/shape	/leaves/blade/shape*/growth form	/leaves/petiole/length*	/leaves/veins*	/leaves/veins*/shape	/petiole*	/petiole*/shape	/petiole*/margin type	/petiole/blade/apex*	/petiole/blade/apex*/shape	/petiole/blade/base*	/petiole/blade/base*/shape	/petiole/blade/dimensions*	/petiole/blade/dimensions*/shape	/petiole/blade/shape*	/petiole/blade/shape*/shape	/petiole/blade/texture*	/petiole/blade/texture*/texture	/petiole/length*	/petiole/veins*	/petiole/veins*/shape	/petiole/veins*/position	/plant sexuality*	/habitat/altitude*	/habitat/altitude*/environment	
  	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
EREMOLEPIDACEAE  	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Fruit a small, 	small	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate, simple, short-petiolate to nearly sessile, expanded or scale-like and peltate. 	peltate,sessile,short	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Dioecious or monoecious. 	-	-	
ANTIDAPHNE  	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Glabrous, foliaceous plants. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate, simple, variable in shape, shiny and 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Dioecious.	-	-	
Antidaphne viscoidea 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Fruit 	-	-	-	grey-green to whitish or yellowish	-	green,grey,whitish	-	-	-	-	-	Plants to 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	mostly obovate with rounded apex	obovate,rounded	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
LORANTHACEAE  	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	-	-	style in many genera slender and long. 	slender	-	Fruit a 	-	-	-	-	-	-	-	-	-	-	-	Leafy shrubs parasitic on other woody plants. 	shrub	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate, decussate or whorled. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CLADOCOLEA  	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	3-5-merous; 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	at least sometimes with a few slender epicortical roots from base of plant. 	slender	-	-	-	-	-	-	-	-	Inflorescences determinate or indeterminate, extremely small, often (but not always) with bracteolate triads below and ebracteolate monads above, all but terminal flowers in paired positions. 	small	-	terminal	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves irregularly alternate-decussate. 	-	-	-	regular	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Cladocolea micrantha 	-	-	-	-	-	-	-	Male and female flowers similar, 	-	-	-	-	-	-	< 0.2 cm long	3- or 4-merous	-	style straight,       	-	-	Fruit 	-	-	-	light orange to red with dark tip	-	orange,red	0.5 x 0.3 cm	-	-	ellipsoid or ovoid	ellipsoid,ovoid	     	-	-	-	-	-	-	-	-	-	-	-	-	-	internodes terete, 	terete	-	to 9 cm long	-	-	-	Inflorescence determinate, |, apical flower followed by one or more pairs of bracteolate or ebracteolate, sessile monads, below which sometimes |, often elongating in fruit; |, where |, awl-shaped scale leaves of 	sessile	-	-	-	-	-	-	-	-	-	-	-	0.5-3 cm long	peduncle 	-	-	0.1 cm	-	-	-	one or more pairs	-	-	-	     	-	-	-	-	apex rounded to deeply emarginate, usually minutely apiculate, 	apiculate,minute,rounded	to 8 x 3.5 cm	lanceolate, elliptic, or ovate	elliptic,lanceolate,ovate	-	0.2-0.5 cm long	venation ranging from pinnate with a distinct midvein reaching into apex to 3-veined in more emarginate leaves. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Dioecious, male plants apparently infrequent. 	-	-	
Cladocolea nitida 	-	-	-	-	-	-	-	Flowers |, |, each with a minute, elongate, staminodial cushion; |, 	elongate,minute	-	-	-	-	-	0.45 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	-	-	-	internodes quadrangular when young. 	quadrangular	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	apex rounded to notched or nearly mucronulate, 	rounded	to 4 x 2 cm	obovate	obovate	-	ca. 1 cm long	pinnate venation clearly marked on both sides. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Dioecious, only female plants known. 	-	-	
Cladocolea sandwithii 	-	-	-	-	-	-	-	Flowers (male) 	-	-	-	-	-	-	ca. 0.2 cm long	4-merous	-	style conspicuously clavate, 	clavate	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Inflorescence |, sessile, |, upper 2 triads sometimes replaced with monads; 	sessile	-	-	-	-	-	-	-	-	-	-	-	ca. 0.3 cm long	-	-	-	-	usually with 	-	-	-	-	-	-	     	-	-	-	-	apex emarginate and mucronate to rounded, 	rounded	to 5 x 1.5 cm	obovate	obovate	-	0.5 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Dioecious, only male plants seen. 	-	-	
GAIADENDRON  	-	-	-	-	-	-	-	Flowers bisexual, 	-	-	-	-	-	-	-	6- or 7-merous	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	-	Trees or shrubs of usually terrestrial habitat, parasitic on roots of other vascular plants. 	shrub,terrestrial	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Inflorescences a raceme of stalked triads, median flowers of triads sessile, |, foliaceous bract/bracteole. 	sessile	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	lateral	-	lateral	-	-	-	-	Leaves 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
