-	/fruits	/fruits/shape	/fruits/shape	/fruits/texture	/fruits/texture	/fruits/position	/fruits/position	/fruits/hairs	/fruits/hairs	/fruits/growth form	/fruits/growth form	/fruits/colour	/fruits/colour	/fruits/apex	/fruits/apex/shape	/fruits/apex/shape	/fruits/apex/texture	/fruits/apex/texture	/fruits/apex/position	/fruits/apex/position	/fruits/dimensions (merged)	/fruits/dimensions (merged)/length	/fruits/dimensions (merged)/length	/fruits/dimensions (merged)/length/minimum	/fruits/dimensions (merged)/length/maximum	/fruits/dimensions (merged)/width	/fruits/dimensions (merged)/width	/fruits/dimensions (merged)/width/minimum	/fruits/dimensions (merged)/width/maximum	/fruits/dimensions (merged)/texture	/fruits/dimensions (merged)/texture	/fruits/stigma	/fruits/stigma	/fruits/stigma/minimum	/fruits/stigma/maximum	/fruits/stigma/shape	/fruits/stigma/shape	/fruits/stigma/hairs	/fruits/stigma/hairs	/fruits/stigma/growth form	/fruits/stigma/growth form	/habit	/habit	/habit/minimum	/habit/maximum	/habit/environment	/habit/environment	/habit/shape	/habit/shape	/habit/texture	/habit/texture	/habit/hairs	/habit/hairs	/habit/growth form	/habit/growth form	/habit/height	/habit/height	/habit/height/minimum	/habit/height/maximum	/inflorescences	/inflorescences	/inflorescences/minimum	/inflorescences/maximum	/inflorescences/shape	/inflorescences/shape	/inflorescences/position	/inflorescences/position	/inflorescences/growth form	/inflorescences/growth form	/inflorescences/colour	/inflorescences/colour	/inflorescences/floral bracts	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/texture	/inflorescences/floral bracts/texture	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/colour	/inflorescences/floral bracts/colour	/inflorescences/growth form	/inflorescences/growth form	/inflorescences/peduncle	/inflorescences/peduncle	/inflorescences/peduncle/minimum	/inflorescences/peduncle/maximum	/inflorescences/peduncle/shape	/inflorescences/peduncle/shape	/inflorescences/peduncle/hairs	/inflorescences/peduncle/hairs	/inflorescences/peduncle/colour	/inflorescences/peduncle/colour	/inflorescences/peduncle/length	/inflorescences/peduncle/length	/inflorescences/peduncle/length/minimum	/inflorescences/peduncle/length/maximum	/inflorescences/position	/inflorescences/position	/inflorescences/position/colour	/inflorescences/position/colour	/inflorescences/rachises	/inflorescences/rachises/hairs	/inflorescences/rachises/hairs	/inflorescences/rachises/colour	/inflorescences/rachises/colour	/inflorescences/spikes	/inflorescences/spikes/shape	/inflorescences/spikes/shape	/inflorescences/spikes/growth form	/inflorescences/spikes/growth form	/inflorescences/spikes/colour	/inflorescences/spikes/colour	/inflorescences/spikes/length	/inflorescences/spikes/length	/inflorescences/spikes/length/minimum	/inflorescences/spikes/length/maximum	/infructescences	/infructescences/growth form	/infructescences/growth form	/infructescences/colour	/infructescences/colour	/infructescences/dimensions (merged)	/infructescences/dimensions (merged)/length	/infructescences/dimensions (merged)/length	/infructescences/dimensions (merged)/length/minimum	/infructescences/dimensions (merged)/length/maximum	/infructescences/dimensions (merged)/width	/infructescences/dimensions (merged)/width	/infructescences/dimensions (merged)/width/minimum	/infructescences/dimensions (merged)/width/maximum	/infructescences/dimensions (merged)/texture	/infructescences/dimensions (merged)/texture	/internodes	/internodes	/internodes/minimum	/internodes/maximum	/internodes/shape	/internodes/shape	/internodes/hairs	/internodes/hairs	/internodes/colour	/internodes/colour	/leaves	/leaves	/leaves/minimum	/leaves/maximum	/leaves/shape	/leaves/shape	/leaves/blade	/leaves/blade/shape	/leaves/blade/shape	/leaves/blade/texture	/leaves/blade/texture	/leaves/blade/hairs	/leaves/blade/hairs	/leaves/blade/colour	/leaves/blade/colour	/leaves/blade/apex	/leaves/blade/apex/shape	/leaves/blade/apex/shape	/leaves/blade/apex/hairs	/leaves/blade/apex/hairs	/leaves/blade/base	/leaves/blade/base/shape	/leaves/blade/base/shape	/leaves/blade/base/hairs	/leaves/blade/base/hairs	/leaves/blade/base/growth form	/leaves/blade/base/growth form	/leaves/blade/base/colour	/leaves/blade/base/colour	/leaves/blade/base/differential distance	/leaves/blade/base/differential distance	/leaves/blade/base/differential distance/minimum	/leaves/blade/base/differential distance/maximum	/leaves/blade/dimensions	/leaves/blade/dimensions/length	/leaves/blade/dimensions/length	/leaves/blade/dimensions/length/minimum	/leaves/blade/dimensions/length/maximum	/leaves/blade/dimensions/width	/leaves/blade/dimensions/width	/leaves/blade/dimensions/width/minimum	/leaves/blade/dimensions/width/maximum	/leaves/blade/dimensions/growth form	/leaves/blade/dimensions/growth form	/leaves/blade/margins	/leaves/blade/margins	/leaves/blade/margins/minimum	/leaves/blade/margins/maximum	/leaves/blade/margins/shape	/leaves/blade/margins/shape	/leaves/blade/margins/hairs	/leaves/blade/margins/hairs	/leaves/blade/shape	/leaves/blade/shape	/leaves/blade/shape/minimum	/leaves/blade/shape/maximum	/leaves/blade/shape/shape	/leaves/blade/shape/shape	/leaves/blade/texture	/leaves/blade/texture	/leaves/blade/texture/colour	/leaves/blade/texture/colour	/leaves/petiole	/leaves/petiole	/leaves/petiole/minimum	/leaves/petiole/maximum	/leaves/petiole/shape	/leaves/petiole/shape	/leaves/petiole/texture	/leaves/petiole/texture	/leaves/petiole/position	/leaves/petiole/position	/leaves/petiole/hairs	/leaves/petiole/hairs	/leaves/petiole/colour	/leaves/petiole/colour	/leaves/petiole/length	/leaves/petiole/length	/leaves/petiole/length/minimum	/leaves/petiole/length/maximum	/leaves/veins	/leaves/veins	/leaves/veins/minimum	/leaves/veins/maximum	/leaves/veins/shape	/leaves/veins/shape	/leaves/veins/texture	/leaves/veins/texture	/leaves/veins/position	/leaves/veins/position	/leaves/veins/hairs	/leaves/veins/hairs	/leaves/veins/growth form	/leaves/veins/growth form	/leaves/veins/colour	/leaves/veins/colour	/stems	/stems/shape	/stems/shape	/stems/texture	/stems/texture	/stems/hairs	/stems/hairs	/stems/growth form	/stems/growth form	/stems/colour	/stems/colour	/stems/length	/stems/length	/stems/length/minimum	/stems/length/maximum	/habitat	/habitat/environment	/habitat/environment	/habitat/growth form	/habitat/growth form	/habitat/colour	/habitat/colour	/habitat/altitude	/habitat/altitude	/habitat/altitude/minimum	/habitat/altitude/maximum	
PIPERACEAE  	Fruits small drupes or nuts.	000000000000000000000000000000	-	000	-	00	-	0000000000	-	00	-	0000000000	-	-	00000	-	0	-	00	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0000000	-	0	-	00	-	Herbs, shrubs or treelets, sometimes scandent, rarely lianas. 	-	-	-	010010	shrub,treelet	00000	-	0	-	00000	-	01000000	scandent	-	-	-	-	Inflorescences |, axillary, or leaf-opposed spikes with minute flowers, solitary or few together, or occasionally spikes arranged in panicles or umbels. 	-	-	-	00	-	1	axillary	1	panicles	000	-	-	00000000	-	0	-	0	-	000000	-	000	-	0000000000000	-	-	-	-	-	000000	-	0000000000	-	0000000	-	-	-	-	-	000100000	terminal	0	-	-	000000	-	00	-	-	000	-	0	-	0000000000000	-	-	-	-	-	-	000	-	000	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0000	-	0	-	000000	-	Leaves simple, alternate, opposite or in whorls;      	-	-	-	0	-	-	0000	-	0	-	000	-	0000000000000	-	-	00000	-	0	-	-	0000000000000	-	0000000000000	-	00	-	00000	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	00	-	0000	-	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	-	-	-	0000000000000000000	-	00000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	00	-	0	-	0	-	0000000000	-	00000	-	-	-	-	-	-	-	-	-	000	-	0	-	0	-	0	-	000	-	000	-	-	0000	-	00	-	00000000	-	00000	-	00000000	-	-	-	-	-	-	0000000000000000000	-	00	-	000	-	-	-	-	-	
PEPEROMIA  	Fruits minute nuts or drupes (“berries”), (sub)basely or laterally attached, sessile or somewhat stipitate when mature, occasionally somewhat sunken in rachis, smooth or sticky, globose, ellipsoid or cylindrical,      	001000001000000000001100001000	cylindric,ellipsoid,globose,sessile,stipitat	010	smooth	10	lateral	0000000000	-	01	mat	0000000000	-	apex obliquely scutellate or truncate, with or without a slender beak, 	11100	oblique,truncate,slender	0	-	00	-	-	-	-	-	-	-	-	-	-	0	-	stigma apical, central or at base of beak.	-	-	-	0000000	-	0	-	00	-	Small epiphytic, epilithic, or terrestrial, succulent herbs, creeping, prostrate, hanging, ascending or erect. 	-	-	-	101000	epiphytic,terrestrial	00000	-	0	-	00000	-	00011101	creeping,erect,ascending,hanging	-	-	-	-	Inflorescences |, solitary or few together, occasionally paniculate; 	-	-	-	10	paniculate	0	-	0	-	000	-	floral bracts peltate, mainly rounded, glabrous, often glandular. 	01001000	rounded,peltate	0	-	0	-	000001	glabrous	000	-	0000000000000	-	-	-	-	-	000000	-	0000000000	-	0000000	-	-	-	-	-	000100100	terminal, leaf-opposed or axillary spikes	0	-	rachis glabrous (but hairy in P. tetraphylla); 	100001	glabrous,hairy	00	-	-	000	-	0	-	0000000000000	-	-	-	-	-	-	000	-	000	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0000	-	0	-	000000	-	Leaves alternate, opposite or in whorls or 3-7 per node;      	-	3	7	0	-	-	0000	-	0	-	000	-	0000000000000	-	-	00000	-	0	-	-	0000000000000	-	0000000000000	-	00	-	00000	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	00	-	0000	-	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	-	-	-	0000000000000000000	-	00000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	00	-	0	-	0	-	0000000000	-	00000	-	-	-	-	-	pinnately or palmately veined. 	-	-	-	100	palmately	0	-	0	-	0	-	010	mat	000	-	-	0000	-	00	-	00000000	-	00000	-	00000000	-	-	-	-	-	-	0000000000000000000	-	00	-	000	-	-	-	-	-	
Peperomia alata 	Fruits laterally attached, globose-ovoid, reddish brown,      	000001000000000000000000000000	globose-ovoid	000	-	10	lateral	0000000000	-	00	-	1100000000	brown,reddish	apex oblique with subapical stigma.	01000	oblique	0	-	01	subapical	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0000000	-	0	-	00	-	Epiphytic, epilithic or terrestrial, glabrous herb. 	-	-	-	100000	terrestrial	00000	-	0	-	00001	glabrous	00000000	-	-	-	-	-	Inflorescence |, single or few together, 	-	-	-	00	-	0	-	0	-	000	-	floral bracts rounded, glabrous, slightly glandular. 	01000000	rounded	0	-	0	-	000001	glabrous	000	-	0000001000000	erect	peduncle not slender, |, green; 	-	-	-	000001	not slender	0000000000	-	0010000	green	0.3-1.5 cm long	-	0.3	1.5	000000001	terminal or axillary	0	-	-	000000	-	00	-	spike |, yellow; 	000	-	0	-	0001000000000	yellow	6-14 cm long	-	6	14	-	000	-	000	-	-	-	-	-	-	-	-	-	-	0	-	internodes winged or ridged below nodes, green or reddish. 	-	-	-	1100	 nodes,winged	0	-	100100	green,reddish	Leaves alternate;      	-	-	-	0	-	blade |, green above, often reddish brown beneath, |, 	0000	-	0	-	000	-	0101000100000	brown,green,reddish	apex acuminate, 	00001	acuminate	0	-	base acute, glabrous; 	1000000000000	acute	0000000000001	glabrous	00	-	00000	-	-	-	-	-	4.5-13 x 2-5 cm	4.5-13	-	4.5	13	2-5	-	2	5	0	-	margin may be ciliate towards apex, 	-	-	-	00	-	1000	ciliate	000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000	elliptic or broadly elliptic or ovate	-	-	0000001000001000000	elliptic,ovate	00000000000000000000000000000000000001000000000	fleshy membranous or coriaceous	00	-	petiole |, deeply grooved or winged; 	-	-	-	10	winged	0	-	0	-	0000000000	-	00000	-	0.3-3 cm long	-	0.3	3	3-5-pli- or palmately veined. 	-	3	5	100	palmately	0	-	0	-	0	-	010	mat	000	-	Stem ascending, 	0000	-	00	-	00000000	-	00010	ascending	00000000	-	10-40 cm long	-	10	40	-	0000000000000000000	-	00	-	000	-	from 0 up to 1700 m	-	0	1700	
Peperomia angustata 	Fruits basely attached, ovoid to globose, beaked, blackish, often verruculose,      	001000000000000000000000100000	globose,ovoid	001	verruculose	00	-	0000000000	-	00	-	0000010000	blackish	apex obliquely scutellate, 	01000	oblique	0	-	00	-	-	-	-	-	-	-	-	-	-	0	-	stigma apical.	-	-	-	0000000	-	0	-	00	-	Terrestrial, epiphytic or epilithic herb, erect, creeping or ascending, rooting at nodes. 	-	-	-	001000	epiphytic	00001	 nodes	0	-	00000	-	00011001	creeping,erect,ascending	-	-	-	-	Inflorescence single, 	-	-	-	00	-	0	-	0	-	000	-	floral bracts rounded to oblong, slightly glandular. 	01000001	oblong,rounded	0	-	0	-	000000	-	000	-	0000001000000	erect	peduncle slender, |, glabrous or minutely pubescent, red; 	-	-	-	001000	slender	1000000001	glabrous,minutely pubescent	0000001	red	2-3 cm long	-	2	3	000100000	terminal	0	-	-	000000	-	00	-	spike |, moderately to densely flowered; 	000	-	0	-	0000000000010	red	10-16 cm long	-	10	16	-	000	-	000	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0000	-	0	-	000000	-	Leaves in whorls of (2-)3-4, basely attached;      	-	3	4	0	-	-	0000	-	0	-	000	-	0000000000000	-	apex acute or acuminate, 	10001	acuminate,acute	0	-	base acutish to cuneate, glabrous; 	0000000000010	cuneate	0000000000001	glabrous	00	-	00000	-	-	-	-	-	2-6 x 1-3 cm	2-6	-	2	6	1-3	-	1	3	0	-	-	-	-	-	00	-	0000	-	000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000	rhombic to elliptic or oblanceolate	-	-	0010000000001001000	elliptic,oblanceolate,rhombic	00000000000000000000000000000000000000000000001	fleshy to coriaceous	00	-	petiole |, glabrous; 	-	-	-	00	-	0	-	0	-	0000000001	glabrous	00000	-	0.2-1.5 cm long	-	0.2	1.5	palmately 3-veined. 	3	-	-	100	palmately	0	-	0	-	0	-	010	mat	000	-	Stem glabrous, |, green or reddish. 	0000	-	00	-	00000001	glabrous	00000	-	01000100	green,reddish	30-100 cm long	-	30	100	in forests, 	0000000000000100000	forest	00	-	000	-	from 0 up to 2400 m	-	0	2400	
Peperomia blanda 	Fruits subbasely attached, globose to ovoid, more or less verruculose, brown,      	001000000000000000000000100000	globose,ovoid	001	verruculose	00	-	0000000000	-	00	-	1000000000	brown	apex oblique with subapical stigma.	01000	oblique	0	-	01	subapical	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0000000	-	0	-	00	-	Terrestrial, epiphytic or epilithic herb, erect or ascending from rooting base. 	-	-	-	001000	epiphytic	00000	-	0	-	00000	-	00011000	erect,ascending	-	-	-	-	Inflorescence |, single or few together; 	-	-	-	00	-	0	-	0	-	000	-	floral bracts rounded, glandular. 	01000000	rounded	0	-	0	-	000000	-	000	-	0000000000000	-	peduncle |, pubescent or crisp-pubescent; 	-	-	-	000000	-	0000000000	-	0000000	-	0.7-3.2 cm long	-	0.7	3.2	000000001	terminal or axillary	0	-	-	000000	-	00	-	spike |, green, densely to laxly flowered; 	000	-	0	-	0000001000010	green,red	2.5-15 cm long	-	2.5	15	-	000	-	000	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0000	-	0	-	000000	-	Leaves opposite or in whorls of 3-7 (sometimes dimorphic), basely attached;      	-	3	7	0	-	-	0000	-	0	-	000	-	0000000000000	-	apex acute or somewhat acuminate, 	10001	acuminate,acute	0	-	base acute, pubescent usually on both sides; 	1000000000000	acute	0000000000000	-	00	-	00000	-	-	-	-	-	2-8 x 0.8-4 cm	2-8	-	2	8	0.8-4	-	0.8	4	0	-	margin ciliate, 	-	-	-	00	-	1000	ciliate	000000000001000000000000000100000000000000000000001000000000000000000000000000100000000000000000000000	elliptic, narrowly elliptic, or obovate, often rhombic	-	-	0000000000001101000	elliptic,obovate,rhombic	00000000000000000000000000100000000000000000000	slightly fleshy	00	-	petiole |, pubescent; 	-	-	-	00	-	0	-	0	-	0000000000	-	00000	-	0.2-1 cm long	-	0.2	1	palmately 3-veined. 	3	-	-	100	palmately	0	-	0	-	0	-	010	mat	000	-	Stem villous, often fuscous, green or reddish, 	0000	-	00	-	01000000	villous	00000	-	01000100	green,reddish	10-20 cm long	-	10	20	-	0000000000000000000	-	00	-	000	-	above 200 m, up to 1100 m	-	200	1100	
Peperomia delascioi 	Fruits stipitate pale brown, smooth, oblong-ellipsoid, |, crowned with a persistent, conic style, 	000000001000000000000001001100	conic,ellipsoid,oblong,stipitat	010	smooth	00	-	0000000000	-	00	-	1000000000	brown	-	00000	-	0	-	00	-	1-1.1 x 0.5 mm	1-1.1	-	1	1.1	0.5	0.5	-	-	0	-	stigma apical, mammiform.	-	-	-	0000000	-	0	-	00	-	Terrestrial herb, non-creeping, suberect or ascending |, not rooting at nodes. 	-	-	-	000000	-	00001	 nodes	0	-	00000	-	00011001	creeping,erect,ascending	up to 9 cm	-	-	9	Inflorescence |, solitary; 	-	-	-	00	-	0	-	0	-	000	-	floral bracts rounded, umbonate with pale margin, 	01000000	rounded	0	-	0	-	000000	-	000	-	0000001000000	erect	peduncle |, minutely hirtellous, without bracts; 	-	-	-	000000	-	0100000000	hirtellous	0000000	-	0.3-0.5 cm long	-	0.3	0.5	000001000	terminal opposite the uppermost leaves	0	-	rachis glabrous. 	000001	glabrous	00	-	spike with scattered flowers, 	000	-	0	-	0000000000010	red	0.6-3 cm long	-	0.6	3	-	000	-	000	-	-	-	-	-	-	-	-	-	-	0	-	upper internodes 4-10 mm long	-	4	10	0000	-	0	-	000000	-	Uppermost leaves opposite, the others alternate;      	-	-	-	0	-	blade basely attached or slightly peltate, 	1000	peltate	0	-	000	-	0000000000000	-	apex emarginate with some hairs at notch, 	00000	-	1	hairs	base rounded or subtruncate, glabrous above, minutely hirtellous at base below; 	0011000000000	rounded,truncate	0001000000001	glabrous,hirtellous	00	-	00000	-	-	-	-	-	0.5-0.8 x 0.5-1 cm	0.5-0.8	-	0.5	0.8	0.5-1	-	0.5	1	0	-	margin not ciliate, 	-	-	-	00	-	1000	ciliate	001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	oblately suborbicular	-	-	0000100000000000000	suborbicular	00001000000000000000000000000000000000000000000	fleshy-membranous	00	-	petiole |, minutely hirtellous; 	-	-	-	00	-	0	-	0	-	0100000000	hirtellous	00000	-	0.3-0.8 cm long	-	0.3	0.8	palmately 3-5-veined. 	-	3	5	100	palmately	0	-	0	-	0	-	010	mat	000	-	Stem minutely hirtellous (spreading hairs 	0000	-	00	-	00100010	hairs,hirtellous	01000	spreading	00000000	-	0.1 mm long	0.1	-	-	-	0000000000000000000	-	00	-	000	-	above 2000 m	-	2000	-	
Peperomia emarginella 	Fruits basely attached (according to Steyermark, on a short stipe), ellipsoid, 	000000001000000000000000000000	ellipsoid	000	-	00	-	0000000000	-	00	-	0000000000	-	-	00000	-	0	-	00	-	ca. 1 mm long with apical stigma	1	1	-	-	-	-	-	-	0	-	-	-	-	-	0000000	-	0	-	00	-	Epiphytic or epilithic, or epiphyllous herb, creeping and rooting at nodes, glabrous or sparsely villous. 	-	-	-	000000	-	00001	 nodes	0	-	10001	glabrous,villous	00000001	creeping	-	-	-	-	Inflorescence |, single, 	-	-	-	00	-	0	-	0	-	000	-	floral bracts sub-orbicular to oblong. 	00100001	oblong,orbicular	0	-	0	-	000000	-	000	-	0000001000000	erect	peduncle slender, |, pinkish; 	-	-	-	001000	slender	0000000000	-	0000010	pinkish	to 1 cm long	-	-	1	000100000	terminal	0	-	-	000000	-	00	-	spike |, laxly flowered; 	000	-	0	-	0000000000010	red	to 1.5 cm long	-	-	1.5	-	000	-	000	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0000	-	0	-	000000	-	Leaves alternate, basely attached;      	-	-	-	0	-	blade |, bright green, |, 	0000	-	0	-	000	-	0000000100000	green	apex emarginate, 	00000	-	0	-	base rounded or truncate, glabrous or with a few hairs; 	0011000000000	rounded,truncate	0000100000001	glabrous,hairs	00	-	00000	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	margin somewhat ciliate, 	-	-	-	00	-	1000	ciliate	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100	orbicular or subreniform	-	-	1000000001000000000	orbicular,subreniform	00000000000000000000000000100000000000000000000	slightly fleshy	00	-	petiole |, often red, glabrous or with sparse hairs; 	-	-	-	00	-	0	-	0	-	0010000001	glabrous,hairs	00001	red	0.1-0.5 cm long	-	0.1	0.5	obsoletely palmately 3-veined. 	3	-	-	100	palmately	0	-	0	-	0	-	010	mat	000	-	-	0000	-	00	-	00000000	-	00000	-	00000000	-	-	-	-	-	-	0000000000000000000	-	00	-	000	-	from 0 to 600 m	-	0	600	
Peperomia galioides 	Fruits subbasely attached, globose, brown,      	001000000000000000000000000000	globose	000	-	00	-	0000000000	-	00	-	1000000000	brown	apex oblique with subapical stigma.	01000	oblique	0	-	01	subapical	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0000000	-	0	-	00	-	Terrestrial, epilithic or epiphytic, cespitose herb. 	-	-	-	001000	epiphytic	00000	-	0	-	00000	-	00000000	-	-	-	-	-	Inflorescence |, often in groups of 2-5; 	-	2	5	00	-	0	-	0	-	000	-	floral bracts rounded, glandular. 	01000000	rounded	0	-	0	-	000000	-	000	-	0000000000000	-	peduncle not slender, |, minutely pubescent to glabrous, winged, green; 	-	-	-	100001	not slender,winged	1000000001	glabrous,minutely pubescent	0010000	green	0.2-1.2 cm long	-	0.2	1.2	000000001	terminal or axillary	0	-	-	000000	-	00	-	spike |, pale yellow to green, laxly flowered; 	000	-	0	-	0001001000010	green,red,yellow	up to 15 cm long	-	-	15	-	000	-	000	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0000	-	0	-	000000	-	Leaves in whorls of 1-4, basely attached;      	-	1	4	0	-	blade |, ciliate towards obtuse apex, 	0100	obtuse	0	-	100	ciliate	0000000000000	-	-	00000	-	0	-	base acutish, glabrous; 	0000000000000	-	0000000000001	glabrous	00	-	00000	-	-	-	-	-	0.5-3.0 x 0.2-0.6 cm	0.5-3.0	-	0.5	3.0	0.2-0.6	-	0.2	0.6	0	-	-	-	-	-	00	-	0000	-	000000000000000000000100000000000000000000000000000000000000000000010000000000000100000000000000000000	narrowly spathulate, narrowly elliptic or narrowly oblanceolate, larger towards apex of stem	-	-	0010000010001000000	elliptic,oblanceolate,spathulate	10000000000000000000000000000000000000000000000	fleshy to subcoriaceous	00	-	petiole |, minutely pubescent; 	-	-	-	00	-	0	-	0	-	1000000000	minutely pubescent	00000	-	to 0.3 cm long	-	-	0.3	venation slightly obvious, palmately 3-veined. 	3	-	-	100	palmately	0	-	0	-	0	-	010	mat	000	-	Stem minutely pubescent to glabrous, |, green or green with red spots or reddish. 	0000	-	00	-	10000001	glabrous,minutely pubescent	00000	-	00000101	green,red	10-80 cm long	-	10	80	-	0000000000000000000	-	00	-	000	-	2250-2500 m, 2700 m	-	2250	2500	
Peperomia glabella 	Fruits laterally attached, globose, reddish brown,      	001000000000000000000000000000	globose	000	-	10	lateral	0000000000	-	00	-	1100000000	brown,reddish	apex oblique with subapical stigma.	01000	oblique	0	-	01	subapical	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0000000	-	0	-	00	-	Epiphytic, stoloniferous herb, strongly glandular dotted, erect, hanging, prostrate or ascending. 	-	-	-	000000	-	00000	-	0	-	00000	-	00011100	erect,ascending,hanging	-	-	-	-	Inflorescence |, single, or several in upper leaf axils, 	-	-	-	00	-	0	-	0	-	000	-	floral bracts rounded, glabrous and black-glandular. 	01000000	rounded	0	-	0	-	000001	glabrous	010	black	0000100000000	erect to pendent	peduncle |, glabrous, black-glandular; 	-	-	-	000000	-	0000000001	glabrous	0000100	black	0.5-1.5 cm long	-	0.5	1.5	000100000	terminal	0	-	-	000000	-	00	-	spike |, moderately densely flowered, flowers distinctly separate; 	001	separate	0	-	0000000000010	red	to 16 cm long	-	-	16	-	000	-	000	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0000	-	0	-	000000	-	Leaves basely attached, alternate;      	-	-	-	0	-	blade |, densely black-glandular (when dried), |, 	0000	-	0	-	000	-	0000000001000	black	apex acute to acuminate, 	10001	acuminate,acute	0	-	base acute to acuminate, sometimes subobtuse, glabrous; 	1000010001000	acuminate,acute,obtuse	0000000000001	glabrous	00	-	00000	-	-	-	-	-	1.5-8 x 0.5-3.5 cm	1.5-8	-	1.5	8	0.5-3.5	-	0.5	3.5	0	-	margin ciliate near apex, 	-	-	-	00	-	1000	ciliate	000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000	narrowly ovate or ovate	-	-	0000001000000000000	ovate	00000000000010000000000000000000000000000000000	fleshy to membranous	00	-	petiole |, usually ciliate with 2 rows of hairs; 	2	-	-	00	-	0	-	0	-	0010100000	ciliate,hairs	00000	-	0.5-1 cm long	-	0.5	1	venation obvious, pli- or palmately 3-5-veined. 	-	3	5	100	palmately	0	-	0	-	0	-	010	mat	000	-	Stem |, green or reddish, glabrous, except for lines of hairs decurrent from nodes. 	1100	decurrent, nodes	00	-	00100001	glabrous,hairs	00000	-	01000100	green,reddish	to 15 cm long	-	-	15	-	0000000000000000000	-	00	-	000	-	from 0 up to 2400 m	-	0	2400	
Peperomia gracieana 	Young fruits flat at apex, green, mature fruits not yet collected.	000000000000010000000000000000	flat	000	-	00	-	0000000000	-	01	mat	0000001000	green	-	00000	-	0	-	00	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0000000	-	0	-	00	-	Epiphytic, terrestrial or epilithic herb, creeping and rooting at nodes. 	-	-	-	100000	terrestrial	00001	 nodes	0	-	00000	-	00000001	creeping	-	-	-	-	Inflorescence single, 	-	-	-	00	-	0	-	0	-	000	-	floral bracts rounded, glabrous. 	01000000	rounded	0	-	0	-	000001	glabrous	000	-	0000000000000	-	peduncle slender, |, glabrous, green; 	-	-	-	001000	slender	0000000001	glabrous	0010000	green	1.5-1.7 cm long	-	1.5	1.7	010000000	axillary	0	-	-	000000	-	00	-	spike laxly flowered, |, green; 	000	-	0	-	0000001000010	green,red	4-6 cm long	-	4	6	-	000	-	000	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	0000	-	0	-	000000	-	Leaves alternate, distinctly peltate;      	-	-	-	1	peltate	-	0000	-	0	-	000	-	0000000000000	-	apex rounded, 	01000	rounded	0	-	base rounded, pilose with erect trichomes on upper surface; 	0010000000000	rounded	0000010001000	pilose,trichomes	01	erect	00000	-	-	-	-	-	1-4.5 x 1-3.5 cm	1-4.5	-	1	4.5	1-3.5	-	1	3.5	0	-	-	-	-	-	00	-	0000	-	000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000	broadly elliptic to orbicular	-	-	1000000000001000000	elliptic,orbicular	00000000000000000001000000000000000000100000000	fleshy in vivo, membranous almost transparent when dried	10	transparent	petiole |, glabrous; 	-	-	-	00	-	0	-	0	-	0000000001	glabrous	00000	-	1-5 cm long	-	1	5	venation obvious in dried state, veins 6-8 from base. 	-	6	8	000	-	0	-	0	-	0	-	000	-	000	-	Stem glabrous, |, whitish green. 	0000	-	00	-	00000001	glabrous	00000	-	00001100	green,whitish	40 cm long	40	-	-	in non-flooded moist forest, creeping and forming loose mats along creeks on rocks, on the forest floor, or on fallen logs, 	0100000000000100001	creek,forest,logs	11	creeping,mat	000	-	between 150-500 m	-	150	500	
