-	/fruits	/fruits/shape	/fruits/texture	/fruits/position	/fruits/hairs	/fruits/colour	/fruits/apex	/fruits/apex/shape	/fruits/apex/texture	/fruits/apex/position	/fruits/apex/hairs	/fruits/dimensions (merged)	/fruits/dimensions (merged)/texture	/fruits/stigma	/fruits/stigma/shape	/fruits/stigma/hairs	/fruits/stigma/growth form	/habit	/habit/texture	/habit/hairs	/habit/growth form	/habit/height	/inflorescences	/inflorescences/shape	/inflorescences/position	/inflorescences/colour	/inflorescences/floral bracts	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/colour	/inflorescences/growth form	/inflorescences/growth form/growth form	/inflorescences/peduncle	/inflorescences/peduncle/shape	/inflorescences/peduncle/hairs	/inflorescences/peduncle/colour	/inflorescences/peduncle/length	/inflorescences/position	/inflorescences/position/position	/inflorescences/position/colour	/inflorescences/rachises	/inflorescences/rachises/hairs	/inflorescences/rachises/colour	/inflorescences/spikes	/inflorescences/spikes/shape	/inflorescences/spikes/growth form	/inflorescences/spikes/colour	/inflorescences/spikes/length	/infructescences	/infructescences/growth form	/infructescences/colour	/infructescences/dimensions (merged)	/infructescences/dimensions (merged)/texture	/internodes	/internodes/hairs	/internodes/colour	/leaves	/leaves/blade	/leaves/blade/shape	/leaves/blade/texture	/leaves/blade/hairs	/leaves/blade/colour	/leaves/blade/apex	/leaves/blade/apex/shape	/leaves/blade/apex/hairs	/leaves/blade/base	/leaves/blade/base/shape	/leaves/blade/base/hairs	/leaves/blade/base/growth form	/leaves/blade/base/colour	/leaves/blade/base/differential distance	/leaves/blade/dimensions	/leaves/blade/dimensions/growth form	/leaves/blade/margins	/leaves/blade/margins/shape	/leaves/blade/shape	/leaves/blade/shape/shape	/leaves/blade/texture	/leaves/blade/texture/texture	/leaves/petiole	/leaves/petiole/texture	/leaves/petiole/position	/leaves/petiole/length	/leaves/veins	/stems	/stems/length	/habitat	/habitat/altitude			
Peperomia haematolepis 	Fruits ellipsoid or ovoid narrowing into slender beak, with curved tip,      	0	0	0	0	0	-	0	0	0	0	0	0	stigma at base of beak.	0	0	0	Epiphytic, glabrous herb. 	0	71	0	0	Inflorescence |, single, 	0	0	0	floral bracts rounded, glandular. 	6274	0	0	0	43	43	peduncle not slender, |, glabrous or minutely puberulent; 	0	71	0	50	56	56	0	-	0	0	spike |, reddish; 	0	0	1705	50	-	0	0	0	0	0	0	0	Leaves alternate;      	-	0	0	0	0	apex rounded or emarginate, 	6274	0	base cuneate; 	2338	0	0	0	0	4	0	0	0	5167	5167	0	0	petiole not grooved or winged, 	0	0	15.0	pinnately veined veins branching off in lower part of primary vein, may be obsolete when dried. 	Stem ascending. 	0	-	700000			
Peperomia hernandiifolia 	Fruits basely attached, ellipsoid, reddish brown,      	0	0	0	0	1705	apex with slender beak and stigma at base of beak.	0	0	0	0	0	0	0	0	0	0	Epiphytic, terrestrial or epilithic herb, creeping. 	0	0	22	0	Inflorescence |, solitary; 	0	0	0	floral bracts rounded, glabrous, glandular. 	6274	0	71	0	0	0	peduncle not slender, |, minutely pubescent, green; 	0	386	782	55.0	58	56	0	-	0	0	spike |, densely flowered; 	0	0	1705	50	-	0	0	0	0	0	0	0	Leaves alternate, distinctly peltate;      	-	0	0	0	0	apex acuminate, 	124	0	base rounded, minutely pubescent, glabrescent; 	6274	386	0	0	0	5.5	0	margin somewhat ciliate, 	0	5167	5167	118	118	petiole attached |, minutely pubescent, glabrescent; 	0	0	110	11	Stem |, retrorsely minutely crisp-pubescent, green and reddish. 	0	-	2000000			
Peperomia lancifolia 	Fruits basely attached, narrowly cylindrical, brown,      	2461	0	0	0	285	apex with short beak and subapical stigma.	0	0	0	0	0	0	0	0	0	0	Terrestrial, epilithic or epiphytic herb, erect or ascending and rooting at decumbent base. 	0	0	43	0	Inflorescence |, solitary, bifurcate or once-branched; 	0	0	0	floral bracts rounded, glabrous, glandular. 	6274	0	71	0	0	0	common peduncle green, not slender, 	0	0	782	60	56	56	0	-	0	0	spike densely flowered, erect, |, whitish or yellowish green; 	0	43	1705	110	-	0	0	0	0	0	0	0	Leaves basely attached, alternate;      	blade |, somewhat ciliate towards apex, 	0	0	1	0	apex acuminate, 	124	0	base acute, decurrent into petiole, glabrous; 	247	71	0	0	0	17	0	0	0	4306	0	313	196	petiole |, glabrous, narrowly winged; 	0	0	10	11	Stem glabrous, |, green or reddish. 	340	-	1600000			
Peperomia macrostachya 	Fruits basely attached, cylindrical, verruculose, brown,      	2461	0	0	0	285	apex obliquely scutellate with subapical stigma.	4675	0	0	0	0	0	0	0	0	0	Epiphytic herb, often growing on ants' nests, creeping or hanging and rooting at nodes. 	0	0	22	0	Inflorescence |, few together; 	0	0	0	floral bracts rounded, dentate or fimbriate, glandular. 	6274	43	0	0	106	106	peduncle not slender, |, glabrous or minutely pubescent or papillose, red or brown; 	0	71	1705	15.0	56	56	0	-	0	0	spike |, yellow to green, densely flowered; 	0	0	2486	300	-	0	0	0	0	0	0	0	Leaves alternate, basely attached;      	blade |, more or less ciliate, 	0	0	1	0	apex acute or acuminate, 	247	0	base rounded or cordulate or acutish, glabrous or slightly pubescent, a waxy exudate like small scales or stars is usually present on upper surface; 	6274	71	0	0	0	11	0	0	0	5167	0	196	196	petiole |, glabrous, ciliate or puberulent, reddish; 	0	0	20	9	Stem glabrous, |, green or green with red nodes. 	1000	in wet forest, 	1800000			
Peperomia magnoliifolia 	Fruits basely attached, subglobose, verruculose, reddish brown or blackish, gradually tapering into beak, which is slightly hooked at the very tip,      	4306	0	0	0	1705	-	0	0	0	0	0	0	stigma at base of beak.	0	0	0	Epiphytic, epilithic or terrestrial herb. 	0	0	0	0	Inflorescence |, solitary or usually 2(-few) together; 	0	0	0	floral bracts rounded, |, glabrous, glandular. 	6274	0	71	0	43	43	peduncle slender (when dried) or not slender, |, glabrous, green or pinkish; 	0	71	782	80	56	56	0	-	0	0	spike |, green, white or yellow, densely flowered; 	0	0	782	180	-	0	0	0	0	0	0	0	Leaves alternate, basely attached;      	blade |, often red-dotted, |, 	0	0	0	1705	apex rounded, obtuse occasionally slightly emarginate to acutish, 	6274	0	base cuneately decurrent into petiole, sometimes abruptly contracted, glabrous; 	2338	71	0	0	0	14	0	0	0	5167	5167	196	196	petiole |, more or less laterally winged or grooved, glabrous; 	0	23	70	7	Stem erect, creeping or ascending, rooting at nodes, |, glabrous, green or green with red spots. 	500	-	1200000			
Peperomia maguirei 	Fruits not sunken, subbasely attached, globose, green,      	4306	0	0	0	782	apex with short, thick style and apical stigma.	0	664	0	0	0	0	0	0	0	0	Epiphytic or epilithic herb, erect or ascending from prostrate, rooting base. 	0	0	43	0	Inflorescence solitary, 	0	0	0	floral bracts rounded, with scariose margin, glabrous, glandular. 	6274	0	71	0	43	43	peduncle |, villous, green or reddish brown; 	0	596	782	20	56	56	0	rachis hardly ridged; 	0	0	spike |, green, densely flowered, 	0	0	782	70	-	0	0	0	0	0	0	0	4	blade |, sometimes pink below, |, 	0	0	0	1563	apex rounded to emarginate, 	6274	0	base acute, glabrous or loosely villous on upper surface, glabrescent, glabrous below; 	247	71	0	0	0	3.5	0	margin not ciliate, 	0	5167	5167	196	196	petiole |, loosely villous; 	0	0	6.0	3	Stem loosely villous, |, green or reddish brown. 	100	-	700000			
Peperomia obtusifolia 	Fruits basely attached, ellipsoid, verruculose, reddish brown or blackish,      	0	0	0	0	1705	apex abruptly contracted into slender beak, which is curved or curled at tip, 	0	0	0	0	0	0	stigma at base of beak.	0	0	0	Epiphytic, epilithic or terrestrial herb. 	0	0	0	0	Inflorescence |, solitary or few together; 	0	0	0	floral bracts rounded, |, glabrous, glandular. 	6274	0	71	0	0	0	both the common peduncle and those of individual spikes bracteate, green or pinkish, slender (when dried) or not slender, together |, usually minutely pubescent; 	0	386	782	140	56	56	0	-	0	0	spikes |, greenish white to yellow, densely flowered; 	0	0	782	180	-	0	0	0	0	0	0	0	Leaves alternate, basely attached;      	blade shiny green, pale green below, |, often with red spots, |, 	0	0	0	782	apex rounded, obtuse or emarginate, 	6274	0	base cuneate, glabrous; 	2338	71	0	0	0	14.5	0	0	0	0	0	118	118	petiole green or green with red spots, |, more or less grooved, minutely pubescent; 	0	0	65.0	7	Stem erect, creeping or ascending, rooting at nodes, glabrous, green or green with red spots. 	0	-	1200000			
Peperomia ouabianae 	Fruits sessile, ovoid, brown, somewhat verruculose,      	5290	0	0	0	285	apex oblique with subapical stigma.	4675	0	0	0	0	0	0	0	0	0	Epiphytic or epilithic herb, creeping and rooting at nodes. 	0	0	22	0	Inflorescence |, solitary; 	0	0	0	floral bracts rounded, glabrous, glandular. 	6274	0	71	0	0	0	peduncle slender, |, glabrous or minutely pubescent, green; 	0	71	782	15.0	56	56	0	-	0	0	spike |, sparsely to densely flowered; 	0	0	1705	55.0	-	0	0	0	0	0	0	0	Leaves alternate;      	blade glandular-dotted, 	0	0	0	0	apex obtuse, 	4921	0	base acute to obtuse, sparsely to densely villous above, less so beneath, or glabrescent; 	247	596	0	0	0	0.9	0	margin ciliate, 	0	5167	4798	0	0	petiole |, loosely villous; 	0	0	5.0	3	Stem loosely villous, |, green to reddish. 	80	-	1400000			
Peperomia pellucida 	Fruits somewhat stipitate, globose, brown (young, green ones may be finely longitudinally ridged),      	4306	0	0	0	285	-	0	0	0	0	0	0	stigma apical, a short style may be developed.	0	0	0	Terrestrial herb, delicate, erect, glabrous, annual. 	0	71	43	0	Inflorescence |, solitary; 	0	0	0	floral bracts rounded, glabrous, minutely glandular. 	6274	0	71	0	0	0	peduncle slender, |, green; 	0	0	782	10	56	56	0	-	0	0	spike 	0	0	0	60	-	0	0	0	0	0	0	0	Leaves alternate, basely attached;      	-	0	0	0	0	apex acute to obtuse, 	247	0	base rounded, cordulate or truncate; 	6274	0	0	0	0	3.7	0	0	0	2830	0	313	313	petiole |, glabrous; 	0	0	25.0	7	Stem |, green often reddish tinged. 	300	-	0			
Peperomia pernambucensis 	Fruits basely attached, cylindrical, slightly verrucose,      	2461	0	0	0	0	apex truncate with central stigma.	7258	0	0	0	0	0	0	0	0	0	Terrestrial or epiphytic, erect herb, glabrous except for pubescent peduncle. 	0	71	43	0	Inflorescence |, paniculate; 	5413	0	0	floral bracts rounded, glabrous, glandular. 	6274	0	71	0	0	0	peduncle |, densely velvety pubescent, green; 	0	386	782	50	56	56	0	-	0	0	spikes |, green, densely flowered; 	0	0	782	80	-	0	0	0	0	0	0	0	Leaves alternate, basely attached;      	-	0	0	0	0	apex acuminate, 	124	0	base cuneate; 	2338	0	0	0	0	30	0	0	0	4306	0	313	313	petiole to 	0	0	2.5	5	Stem |, green. 	50	-	700000			
Peperomia popayanensis 	Fruits basely attached, ellipsoid,      	0	0	0	0	0	apex with slender beak and stigma at base of beak.	0	0	0	0	0	0	0	0	0	0	Terrestrial, ascending, almost glabrous herb, rooting at nodes. 	0	71	0	0	Inflorescence |, solitary; 	0	0	0	floral bracts, rounded, glabrous. 	6274	0	71	0	0	0	3	0	0	782	70	1	1	0	-	0	0	spike |, green; 	0	0	782	170	-	0	0	0	0	0	0	0	Leaves alternate, slightly subpeltate;      	-	0	0	0	0	apex acuminate, 	124	0	base rounded to cordulate, minutely ciliate towards apex; 	6274	1	0	0	0	12	0	0	0	5167	5167	118	118	petiole 	0	0	200	3	Stem glabrous, green. 	0	-	0			
Peperomia purpurinervis 	Fruits basely attached, ovoid to globose, smooth,      	5290	586	0	0	0	-	0	0	0	0	0	0	stigma apical.	0	0	0	Epiphytic, terrestrial or epilithic herb, creeping to ascending. 	0	0	22	0	Inflorescence |, solitary; 	0	0	0	floral bracts rounded, glabrous, glandular. 	6274	0	71	0	0	0	peduncle not slender, |, glabrous or minutely pubescent; 	0	71	0	25.0	56	56	0	-	0	0	spike erect, |, yellow or pale green or greenish white, laxly flowered; 	0	43	2486	70	-	0	0	0	0	0	0	0	Leaves alternate, basely attached;      	blade |, maybe sparsely ciliate, 	0	0	1	0	apex acute to obtuse, 	247	0	base acute or obtuse, glabrous or slightly hirtellous, green above, often magenta-red below; 	247	71	0	782	0	3.5	0	0	0	0	0	196	196	petiole 	0	0	10	3	52	280	in dense forest on sandstone, 	2750000			
Peperomia quadrangularis 	Fruits somewhat sunken when young, slightly stipitate when ripe, ovoid, smooth and shiny (in vivo) brown, upper half often grayish, verruculose or papillate, with apical stigma.	5290	586	0	0	285	-	0	0	0	0	0	0	0	0	0	0	Epiphytic or epilithic herb, creeping or hanging, sometimes mat-forming. 	0	0	22	0	Inflorescence |, solitary or two together, 	0	0	0	floral bracts rounded or oblong, glabrous, glandular; 	6274	0	71	0	43	43	2	0	386	1705	40	56	1	0	rachis strongly ridged (at least when dried). 	0	0	spike |, green or yellow-green, laxly to moderately flowered; 	0	0	782	60	-	0	0	0	0	60	0	782	Leaves opposite, basely attached;      	-	0	0	0	0	apex obtuse, rounded or slightly acute, 	4921	0	base acute to rounded, dark green above, with paler veins beneath, minutely puberulent above, sparsely so and glabrescent beneath; 	247	351	0	782	0	4.5	0	margin ciliate, 	0	0	0	196	196	petiole |, glabrous or minutely pubescent; 	0	0	5.0	3	Stem quadrangular, minutely pubescent,      	0	in savanna forest, 	200000			
Peperomia quadrifolia 	Fruits basely attached, ovoid or subglobose, brown,      	5290	0	0	0	285	apex attenuate or somewhat stylose, 	862	0	0	0	0	0	stigma apical.	0	0	0	Epiphytic, trailing, glabrous herb. 	0	71	0	0	Inflorescence |, solitary, 	0	0	0	floral bracts rounded, glabrous and sparsely glandular. 	6274	0	71	0	43	43	peduncle not slender, |, green; 	0	0	782	17.0	56	56	0	-	0	0	spike |, densely flowered, green; 	0	0	1705	35.0	-	0	0	0	0	0	0	0	6	-	0	0	0	0	apex emarginate, occasionally with hairs in indentation, 	0	106	base acute; 	247	0	0	0	0	1.8	0	0	0	6520	6520	196	196	petiole 	0	0	4.0	3	Stem erect to ascending, glabrous, |, green or reddish. 	250	-	2800000			
Peperomia reptans 	Fruits basely attached, subglobose to ovoid, with more or less hooked beak and subapical stigma.	4306	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	Epiphytic, terrestrial or epilithic herb, creeping. 	0	0	22	0	Inflorescence single, 	0	0	0	floral bracts rounded, glandular. 	6274	0	0	0	0	0	peduncle not slender, often bracteate, |, longer than spike, pubescent, sometimes red; 	0	386	1705	60	1	1	0	-	0	0	spike |, green or yellow, densely flowered; 	0	0	782	25.0	-	0	0	0	0	0	0	0	Leaves alternate, basely attached;      	blade |, dark green above, light green beneath, |, 	0	0	0	782	apex acutely obtuse, 	247	0	base cordate, cordulate or rounded, brown appressed-pilose above, below light green (Tillett), red with green (Persaud) or brown (Hahn) stripes and white hairs (Persaud); 	2092	316	0	285	0	2.5	0	margin ciliate, 	0	5214	5167	196	196	petiole |, retrorsely appressed-pubescent; 	0	0	15.0	7	Stem succulent, glossy, retrorsely crisp-pubescent, green with red spots or reddish. 	0	-	1900000			
Peperomia rhombea 	Fruits ellipsoid or ovoid, |, slightly stipitate at maturity, 	0	0	0	0	0	-	0	0	0	0	1	0	stigma apical.	0	0	0	Epiphytic, stoloniferous herb. 	0	0	0	0	Inflorescence |, solitary, simple; 	0	0	0	floral bracts rounded, glabrous, 	6274	0	71	0	0	0	peduncle |, minutely pubescent; 	0	386	0	37.0	56	56	0	-	0	0	spike 	0	0	0	60	-	0	0	0	0	0	0	0	5	-	0	0	0	0	-	0	0	-	0	0	0	0	0	1.5	0	margin ciliolate at apex, obtuse at apex, narrowly acute at base, glabrous above, sparsely minutely pubescent below; 	4921	5905	5905	196	118	petiole |, minutely pubescent; 	0	0	5.0	3	Stem sparsely pubescent. 	0	-	0			
Peperomia rotundifolia 	Fruits (sub)basely attached, globose to ovoid, brown, reticulately verruculose,      	4306	0	0	0	285	apex oblique with subapical stigma.	4675	0	0	0	0	0	0	0	0	0	Epiphytic or epilithic herb, prostrate with ascending stem tips rooting at nodes. 	0	0	0	0	Inflorescence |, solitary; 	0	0	0	floral bracts rounded, glabrous, glandular. 	6274	0	71	0	0	0	peduncle not nodose, without bract, |, pubescent or glabrous; 	0	386	0	10	56	56	0	-	0	0	spike |, yellow to red, moderately to densely flowered; 	0	0	2486	60	-	0	0	0	0	20	0	782	Leaves alternate, basely attached, sometimes subpeltate,      	-	0	0	0	0	apex rounded, 	6274	0	base rounded, glabrous to puberulent; 	6274	71	0	0	0	1.2	0	margin ciliate, 	0	5044	0	196	196	petiole |, pubescent to glabrous; 	0	0	10	3	Stem crisp-pubescent when young,      	0	humid forests 	1000000			
Peperomia serpens 	Fruits basely attached, ellipsoid, brown,      	0	0	0	0	285	apex with slender beak and subapical stigma.	0	0	0	0	0	0	0	0	0	0	Epiphytic or epilithic herb, creeping or twining and rooting at nodes. 	0	0	22	0	Inflorescence |, solitary; 	0	0	0	floral bracts rounded, glabrous, glandular. 	6274	0	71	0	0	0	2	0	386	782	30	56	56	0	-	0	0	spike |, pale green, densely flowered; 	0	0	782	17.0	-	0	0	0	0	30	0	782	Leaves alternate, slightly peltate;      	blade |, ciliolate towards apex, 	0	0	1	0	apex rounded, 	6274	0	base rounded, some hairs on young leaves only; 	6274	106	0	0	0	2	0	0	0	2830	0	196	196	petiole |, crisp-pubescent; 	0	0	20	5	Stem minutely crisp-pubescent,      	0	-	1200000			
