-	/fruits	/fruits/shape	/fruits/texture	/fruits/position	/fruits/hairs	/fruits/colour	/fruits/apex	/fruits/apex/shape	/fruits/apex/texture	/fruits/apex/position	/fruits/apex/hairs	/fruits/dimensions (merged)	/fruits/dimensions (merged)/texture	/fruits/stigma	/fruits/stigma/shape	/fruits/stigma/hairs	/fruits/stigma/growth form	/habit	/habit/texture	/habit/hairs	/habit/growth form	/habit/height	/inflorescences	/inflorescences/shape	/inflorescences/position	/inflorescences/colour	/inflorescences/floral bracts	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/colour	/inflorescences/growth form	/inflorescences/growth form/growth form	/inflorescences/peduncle	/inflorescences/peduncle/shape	/inflorescences/peduncle/hairs	/inflorescences/peduncle/colour	/inflorescences/peduncle/length	/inflorescences/position	/inflorescences/position/position	/inflorescences/position/colour	/inflorescences/rachises	/inflorescences/rachises/hairs	/inflorescences/rachises/colour	/inflorescences/spikes	/inflorescences/spikes/shape	/inflorescences/spikes/growth form	/inflorescences/spikes/colour	/inflorescences/spikes/length	/infructescences	/infructescences/growth form	/infructescences/colour	/infructescences/dimensions (merged)	/infructescences/dimensions (merged)/texture	/internodes	/internodes/hairs	/internodes/colour	/leaves	/leaves/blade	/leaves/blade/shape	/leaves/blade/texture	/leaves/blade/hairs	/leaves/blade/colour	/leaves/blade/apex	/leaves/blade/apex/shape	/leaves/blade/apex/hairs	/leaves/blade/base	/leaves/blade/base/shape	/leaves/blade/base/hairs	/leaves/blade/base/growth form	/leaves/blade/base/colour	/leaves/blade/base/differential distance	/leaves/blade/dimensions	/leaves/blade/dimensions/growth form	/leaves/blade/margins	/leaves/blade/margins/shape	/leaves/blade/shape	/leaves/blade/shape/shape	/leaves/blade/texture	/leaves/blade/texture/texture	/leaves/petiole	/leaves/petiole/texture	/leaves/petiole/position	/leaves/petiole/length	/leaves/veins	/stems	/stems/length	/habitat	/habitat/altitude			
PIPERACEAE  	Fruits small drupes or nuts.	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	Herbs, shrubs or treelets, sometimes scandent, rarely lianas. 	0	0	169	0	Inflorescences |, axillary, or leaf-opposed spikes with minute flowers, solitary or few together, or occasionally spikes arranged in panicles or umbels. 	0	1	0	-	0	0	0	0	0	0	0	0	0	0	0	56	56	0	-	0	0	-	0	0	0	0	-	0	0	0	0	0	0	0	Leaves simple, alternate, opposite or in whorls;      	-	0	0	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0			
PEPEROMIA  	Fruits minute nuts or drupes (“berries”), (sub)basely or laterally attached, sessile or somewhat stipitate when mature, occasionally somewhat sunken in rachis, smooth or sticky, globose, ellipsoid or cylindrical,      	4306	586	23	0	0	apex obliquely scutellate or truncate, with or without a slender beak, 	4675	0	0	0	0	0	stigma apical, central or at base of beak.	0	0	0	Small epiphytic, epilithic, or terrestrial, succulent herbs, creeping, prostrate, hanging, ascending or erect. 	0	0	22	0	Inflorescences |, solitary or few together, occasionally paniculate; 	5413	0	0	floral bracts peltate, mainly rounded, glabrous, often glandular. 	6274	0	71	0	0	0	0	0	0	0	0	56	56	0	rachis glabrous (but hairy in P. tetraphylla); 	71	0	-	0	0	0	0	-	0	0	0	0	0	0	0	7	-	0	0	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	pinnately or palmately veined. 	0	0	-	0			
Peperomia alata 	Fruits laterally attached, globose-ovoid, reddish brown,      	4306	0	23	0	1705	apex oblique with subapical stigma.	4675	0	0	0	0	0	0	0	0	0	Epiphytic, epilithic or terrestrial, glabrous herb. 	0	71	0	0	Inflorescence |, single or few together, 	0	0	0	floral bracts rounded, glabrous, slightly glandular. 	6274	0	71	0	43	43	peduncle not slender, |, green; 	0	0	782	15.0	58	56	0	-	0	0	spike |, yellow; 	0	0	2486	140	-	0	0	0	0	internodes winged or ridged below nodes, green or reddish. 	0	782	Leaves alternate;      	blade |, green above, often reddish brown beneath, |, 	0	0	0	782	apex acuminate, 	124	0	base acute, glabrous; 	247	71	0	0	0	13	0	margin may be ciliate towards apex, 	0	5167	0	321	196	petiole |, deeply grooved or winged; 	0	0	30	5	Stem ascending, 	400	-	1700000			
Peperomia angustata 	Fruits basely attached, ovoid to globose, beaked, blackish, often verruculose,      	5290	0	0	0	143	apex obliquely scutellate, 	4675	0	0	0	0	0	stigma apical.	0	0	0	Terrestrial, epiphytic or epilithic herb, erect, creeping or ascending, rooting at nodes. 	0	0	43	0	Inflorescence single, 	0	0	0	floral bracts rounded to oblong, slightly glandular. 	6274	0	0	0	43	43	peduncle slender, |, glabrous or minutely pubescent, red; 	0	71	1705	30	56	56	0	-	0	0	spike |, moderately to densely flowered; 	0	0	1705	160	-	0	0	0	0	0	0	0	4	-	0	0	0	0	apex acute or acuminate, 	247	0	base acutish to cuneate, glabrous; 	2338	71	0	0	0	6	0	0	0	5905	5905	203	196	petiole |, glabrous; 	0	0	15.0	3	Stem glabrous, |, green or reddish. 	1000	in forests, 	2400000			
Peperomia blanda 	Fruits subbasely attached, globose to ovoid, more or less verruculose, brown,      	4306	0	0	0	285	apex oblique with subapical stigma.	4675	0	0	0	0	0	0	0	0	0	Terrestrial, epiphytic or epilithic herb, erect or ascending from rooting base. 	0	0	43	0	Inflorescence |, single or few together; 	0	0	0	floral bracts rounded, glandular. 	6274	0	0	0	0	0	peduncle |, pubescent or crisp-pubescent; 	0	386	0	32.0	58	56	0	-	0	0	spike |, green, densely to laxly flowered; 	0	0	782	150	-	0	0	0	0	0	0	0	7	-	0	0	0	0	apex acute or somewhat acuminate, 	247	0	base acute, pubescent usually on both sides; 	247	386	0	0	0	8	0	margin ciliate, 	0	0	0	196	196	petiole |, pubescent; 	0	0	10	3	Stem villous, often fuscous, green or reddish, 	200	-	200000			
Peperomia delascioi 	Fruits stipitate pale brown, smooth, oblong-ellipsoid, |, crowned with a persistent, conic style, 	4798	586	0	0	285	-	0	0	0	0	1.1	0	stigma apical, mammiform.	0	0	0	Terrestrial herb, non-creeping, suberect or ascending |, not rooting at nodes. 	0	0	22	9	Inflorescence |, solitary; 	0	0	0	floral bracts rounded, umbonate with pale margin, 	6274	0	0	0	43	43	peduncle |, minutely hirtellous, without bracts; 	0	176	0	5.0	56	56	0	rachis glabrous. 	71	0	spike with scattered flowers, 	0	0	1705	30	-	0	0	0	0	10	0	0	Uppermost leaves opposite, the others alternate;      	blade basely attached or slightly peltate, 	0	0	0	0	apex emarginate with some hairs at notch, 	0	106	base rounded or subtruncate, glabrous above, minutely hirtellous at base below; 	6274	71	0	0	0	0.8	0	margin not ciliate, 	0	5044	5044	313	196	petiole |, minutely hirtellous; 	0	0	8.0	5	Stem minutely hirtellous (spreading hairs 	0.1	-	2000000			
Peperomia emarginella 	Fruits basely attached (according to Steyermark, on a short stipe), ellipsoid, 	0	0	0	0	0	-	0	0	0	0	1	0	0	0	0	0	Epiphytic or epilithic, or epiphyllous herb, creeping and rooting at nodes, glabrous or sparsely villous. 	0	71	22	0	Inflorescence |, single, 	0	0	0	floral bracts sub-orbicular to oblong. 	5044	0	0	0	43	43	peduncle slender, |, pinkish; 	0	0	1563	10	56	56	0	-	0	0	spike |, laxly flowered; 	0	0	1705	15.0	-	0	0	0	0	0	0	0	Leaves alternate, basely attached;      	blade |, bright green, |, 	0	0	0	782	apex emarginate, 	0	0	base rounded or truncate, glabrous or with a few hairs; 	6274	71	0	0	0	0	0	margin somewhat ciliate, 	0	6028	5044	196	196	petiole |, often red, glabrous or with sparse hairs; 	0	0	5.0	3	0	0	-	600000			
Peperomia galioides 	Fruits subbasely attached, globose, brown,      	4306	0	0	0	285	apex oblique with subapical stigma.	4675	0	0	0	0	0	0	0	0	0	Terrestrial, epilithic or epiphytic, cespitose herb. 	0	0	0	0	Inflorescence |, often in groups of 2-5; 	0	0	0	floral bracts rounded, glandular. 	6274	0	0	0	0	0	peduncle not slender, |, minutely pubescent to glabrous, winged, green; 	0	386	782	12.0	58	56	0	-	0	0	spike |, pale yellow to green, laxly flowered; 	0	0	2486	150	-	0	0	0	0	0	0	0	4	blade |, ciliate towards obtuse apex, 	4921	0	1	0	-	0	0	base acutish, glabrous; 	0	71	0	0	0	3.0	0	0	0	6520	6520	203	196	petiole |, minutely pubescent; 	0	0	3.0	3	Stem minutely pubescent to glabrous, |, green or green with red spots or reddish. 	800	-	2500000			
Peperomia glabella 	Fruits laterally attached, globose, reddish brown,      	4306	0	23	0	1705	apex oblique with subapical stigma.	4675	0	0	0	0	0	0	0	0	0	Epiphytic, stoloniferous herb, strongly glandular dotted, erect, hanging, prostrate or ascending. 	0	0	43	0	Inflorescence |, single, or several in upper leaf axils, 	0	0	0	floral bracts rounded, glabrous and black-glandular. 	6274	0	71	143	106	43	peduncle |, glabrous, black-glandular; 	0	71	143	15.0	56	56	0	-	0	0	spike |, moderately densely flowered, flowers distinctly separate; 	0	0	1705	160	-	0	0	0	0	0	0	0	Leaves basely attached, alternate;      	blade |, densely black-glandular (when dried), |, 	0	0	0	143	apex acute to acuminate, 	247	0	base acute to acuminate, sometimes subobtuse, glabrous; 	247	71	0	0	0	3.5	0	margin ciliate near apex, 	0	5167	5167	313	196	2	0	0	10	5	Stem |, green or reddish, glabrous, except for lines of hairs decurrent from nodes. 	150	-	2400000			
Peperomia gracieana 	Young fruits flat at apex, green, mature fruits not yet collected.	3445	0	0	0	782	-	0	0	0	0	0	0	0	0	0	0	Epiphytic, terrestrial or epilithic herb, creeping and rooting at nodes. 	0	0	22	0	Inflorescence single, 	0	0	0	floral bracts rounded, glabrous. 	6274	0	71	0	0	0	peduncle slender, |, glabrous, green; 	0	71	782	17.0	1	1	0	-	0	0	spike laxly flowered, |, green; 	0	0	1705	60	-	0	0	0	0	0	0	0	Leaves alternate, distinctly peltate;      	-	0	0	0	0	apex rounded, 	6274	0	base rounded, pilose with erect trichomes on upper surface; 	6274	316	43	0	0	4.5	0	0	0	5044	0	196	196	petiole |, glabrous; 	0	0	50	8	Stem glabrous, |, whitish green. 	400	in non-flooded moist forest, creeping and forming loose mats along creeks on rocks, on the forest floor, or on fallen logs, 	500000			
