-	/fruits	/fruits/shape	/fruits/shape	/fruits/texture	/fruits/texture	/fruits/position	/fruits/position	/fruits/hairs	/fruits/hairs	/fruits/colour	/fruits/colour	/fruits/apex	/fruits/apex/shape	/fruits/apex/shape	/fruits/apex/texture	/fruits/apex/texture	/fruits/apex/position	/fruits/apex/position	/fruits/apex/hairs	/fruits/apex/hairs	/fruits/dimensions (merged)	/fruits/dimensions (merged)/length	/fruits/dimensions (merged)/length/minimum	/fruits/dimensions (merged)/length/maximum	/fruits/dimensions (merged)/width	/fruits/dimensions (merged)/width/minimum	/fruits/dimensions (merged)/width/maximum	/fruits/dimensions (merged)/texture	/fruits/dimensions (merged)/texture	/fruits/stigma	/fruits/stigma/minimum	/fruits/stigma/maximum	/fruits/stigma/shape	/fruits/stigma/shape	/fruits/stigma/hairs	/fruits/stigma/hairs	/fruits/stigma/growth form	/fruits/stigma/growth form	/habit	/habit/minimum	/habit/maximum	/habit/texture	/habit/texture	/habit/hairs	/habit/hairs	/habit/growth form	/habit/growth form	/habit/height	/habit/height/minimum	/habit/height/maximum	/inflorescences	/inflorescences/minimum	/inflorescences/maximum	/inflorescences/shape	/inflorescences/shape	/inflorescences/position	/inflorescences/position	/inflorescences/colour	/inflorescences/colour	/inflorescences/floral bracts	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/colour	/inflorescences/floral bracts/colour	/inflorescences/growth form	/inflorescences/growth form	/inflorescences/growth form/growth form	/inflorescences/growth form/growth form	/inflorescences/peduncle	/inflorescences/peduncle/minimum	/inflorescences/peduncle/maximum	/inflorescences/peduncle/shape	/inflorescences/peduncle/shape	/inflorescences/peduncle/hairs	/inflorescences/peduncle/hairs	/inflorescences/peduncle/colour	/inflorescences/peduncle/colour	/inflorescences/peduncle/length	/inflorescences/peduncle/length/minimum	/inflorescences/peduncle/length/maximum	/inflorescences/position	/inflorescences/position/colour	/inflorescences/position/colour	/inflorescences/rachises	/inflorescences/rachises/hairs	/inflorescences/rachises/hairs	/inflorescences/rachises/colour	/inflorescences/rachises/colour	/inflorescences/spikes	/inflorescences/spikes/shape	/inflorescences/spikes/shape	/inflorescences/spikes/growth form	/inflorescences/spikes/growth form	/inflorescences/spikes/colour	/inflorescences/spikes/colour	/inflorescences/spikes/length	/inflorescences/spikes/length/minimum	/inflorescences/spikes/length/maximum	/infructescences	/infructescences/growth form	/infructescences/growth form	/infructescences/colour	/infructescences/colour	/infructescences/dimensions (merged)	/infructescences/dimensions (merged)/length	/infructescences/dimensions (merged)/width	/infructescences/dimensions (merged)/minimum	/infructescences/dimensions (merged)/maximum	/infructescences/dimensions (merged)/texture	/infructescences/dimensions (merged)/texture	/internodes	/internodes/minimum	/internodes/maximum	/internodes/hairs	/internodes/hairs	/internodes/colour	/internodes/colour	/leaves	/leaves/minimum	/leaves/maximum	/leaves/blade	/leaves/blade/shape	/leaves/blade/shape	/leaves/blade/texture	/leaves/blade/texture	/leaves/blade/hairs	/leaves/blade/hairs	/leaves/blade/colour	/leaves/blade/colour	/leaves/blade/apex	/leaves/blade/apex/shape	/leaves/blade/apex/shape	/leaves/blade/apex/hairs	/leaves/blade/apex/hairs	/leaves/blade/base	/leaves/blade/base/shape	/leaves/blade/base/shape	/leaves/blade/base/hairs	/leaves/blade/base/hairs	/leaves/blade/base/growth form	/leaves/blade/base/growth form	/leaves/blade/base/colour	/leaves/blade/base/colour	/leaves/blade/base/differential distance	/leaves/blade/base/differential distance/minimum	/leaves/blade/base/differential distance/maximum	/leaves/blade/dimensions	/leaves/blade/dimensions/length	/leaves/blade/dimensions/length/minimum	/leaves/blade/dimensions/length/maximum	/leaves/blade/dimensions/width	/leaves/blade/dimensions/width/minimum	/leaves/blade/dimensions/width/maximum	/leaves/blade/dimensions/minimum	/leaves/blade/dimensions/maximum	/leaves/blade/dimensions/growth form	/leaves/blade/dimensions/growth form	/leaves/blade/margins	/leaves/blade/margins/minimum	/leaves/blade/margins/maximum	/leaves/blade/margins/shape	/leaves/blade/margins/shape	/leaves/blade/margins/hairs	/leaves/blade/margins/hairs	/leaves/blade/shape	/leaves/blade/shape	/leaves/blade/shape/minimum	/leaves/blade/shape/maximum	/leaves/blade/shape/shape	/leaves/blade/shape/shape	/leaves/blade/texture	/leaves/blade/texture/colour	/leaves/blade/texture/colour	/leaves/petiole	/leaves/petiole/minimum	/leaves/petiole/maximum	/leaves/petiole/texture	/leaves/petiole/texture	/leaves/petiole/position	/leaves/petiole/position	/leaves/petiole/hairs	/leaves/petiole/hairs	/leaves/petiole/colour	/leaves/petiole/colour	/leaves/petiole/length	/leaves/petiole/length/minimum	/leaves/petiole/length/maximum	/leaves/veins	/leaves/veins/minimum	/leaves/veins/maximum	/leaves/veins/shape	/leaves/veins/shape	/leaves/veins/texture	/leaves/veins/texture	/leaves/veins/position	/leaves/veins/position	/leaves/veins/hairs	/leaves/veins/hairs	/leaves/veins/colour	/leaves/veins/colour	/stems	/stems/shape	/stems/shape	/stems/texture	/stems/texture	/stems/hairs	/stems/hairs	/stems/growth form	/stems/growth form	/stems/colour	/stems/colour	/stems/length	/stems/length/minimum	/stems/length/maximum	/habitat	/habitat/growth form	/habitat/growth form	/habitat/colour	/habitat/colour	/habitat/altitude	/habitat/altitude/minimum	/habitat/altitude/maximum
PIPERACEAE  	Fruits small drupes or nuts.	0	-	0	-	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Herbs, shrubs or treelets, sometimes scandent, rarely lianas. 	-	-	0	-	0	-	169	scandent	-	-	-	Inflorescences |, axillary, or leaf-opposed spikes with minute flowers, solitary or few together, or occasionally spikes arranged in panicles or umbels. 	-	-	0	-	1	axillary	0	-	-	0	-	0	-	0	-	0	-	0	-	0	-	-	-	-	0	-	0	-	0	-	-	-	-	terminal	0	-	-	0	-	0	-	-	0	-	0	-	0	-	-	-	-	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves simple, alternate, opposite or in whorls;      	-	-	-	0	-	0	-	0	-	0	-	-	0	-	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	-	-	0	-	-	0	-	-	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	0	-	0	-	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	0	-	-	-	-	-	0	-	0	-	-	-	-
PEPEROMIA  	Fruits minute nuts or drupes (“berries”), (sub)basely or laterally attached, sessile or somewhat stipitate when mature, occasionally somewhat sunken in rachis, smooth or sticky, globose, ellipsoid or cylindrical,      	2461	cylindric,globose	586	smooth	23	lateral	0	-	0	-	apex obliquely scutellate or truncate, with or without a slender beak, 	4675	oblique,truncate	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigma apical, central or at base of beak.	-	-	0	-	0	-	0	-	Small epiphytic, epilithic, or terrestrial, succulent herbs, creeping, prostrate, hanging, ascending or erect. 	-	-	0	-	0	-	22	creeping,erect	-	-	-	Inflorescences |, solitary or few together, occasionally paniculate; 	-	-	5413	paniculate	0	-	0	-	floral bracts peltate, mainly rounded, glabrous, often glandular. 	6274	rounded	0	-	71	glabrous	0	-	0	-	0	-	-	-	-	0	-	0	-	0	-	-	-	-	terminal, leaf-opposed or axillary spikes	0	-	rachis glabrous (but hairy in P. tetraphylla); 	71	glabrous,hairy	0	-	-	0	-	0	-	0	-	-	-	-	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves alternate, opposite or in whorls or 3-7 per node;      	3	7	-	0	-	0	-	0	-	0	-	-	0	-	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	-	-	0	-	-	0	-	-	-	-	0	-	0	-	0	-	0	-	-	-	-	pinnately or palmately veined. 	-	-	0	-	0	-	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	0	-	-	-	-	-	0	-	0	-	-	-	-
Peperomia alata 	Fruits laterally attached, globose-ovoid, reddish brown,      	3814	globose,ovoid	0	-	23	lateral	0	-	285	brown,reddish	apex oblique with subapical stigma.	4675	oblique	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Epiphytic, epilithic or terrestrial, glabrous herb. 	-	-	0	-	71	glabrous	0	-	-	-	-	Inflorescence |, single or few together, 	-	-	0	-	0	-	0	-	floral bracts rounded, glabrous, slightly glandular. 	6274	rounded	0	-	71	glabrous	0	-	43	erect	43	erect	peduncle not slender, |, green; 	-	-	0	-	0	-	782	green	0.3-1.5 cm long	0.3	1.5	terminal or axillary	0	-	-	0	-	0	-	spike |, yellow; 	0	-	0	-	2486	yellow	6-14 cm long	6	14	-	0	-	0	-	-	-	-	-	-	0	-	internodes winged or ridged below nodes, green or reddish. 	-	-	0	-	830	green or reddish	Leaves alternate;      	-	-	blade |, green above, often reddish brown beneath, |, 	0	-	0	-	0	-	285	brown,green,reddish	apex acuminate, 	124	acuminate	0	-	base acute, glabrous; 	247	acute	71	glabrous	0	-	0	-	-	-	-	4.5-13 x 2-5 cm	13	-	-	2	-	-	4.5	13	0	-	margin may be ciliate towards apex, 	-	-	0	-	1	ciliate	0	elliptic or broadly elliptic or ovate	-	-	5167	ovate	fleshy membranous or coriaceous	0	-	petiole |, deeply grooved or winged; 	-	-	0	-	0	-	0	-	0	-	0.3-3 cm long	0.3	3	3-5(-7)-pli- or palmately veined. 	3	5	0	-	0	-	0	-	0	-	0	-	Stem ascending, 	0	-	0	-	0	-	0	-	0	-	10-40 cm long	10	40	-	0	-	0	-	from 0 up to 1700 m	0	1700
Peperomia angustata 	Fruits basely attached, ovoid to globose, beaked, blackish, often verruculose,      	5353	ovoid to globose	0	-	0	-	0	-	143	blackish	apex obliquely scutellate, 	4675	oblique	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigma apical.	-	-	0	-	0	-	0	-	Terrestrial, epiphytic or epilithic herb, erect, creeping or ascending, rooting at nodes. 	-	-	0	-	0	-	22	creeping,erect	-	-	-	Inflorescence single, 	-	-	0	-	0	-	0	-	floral bracts rounded to oblong, slightly glandular. 	6353	rounded to oblong	0	-	0	-	0	-	43	erect	43	erect	peduncle slender, |, glabrous or minutely pubescent, red; 	-	-	0	-	71	glabrous,pubescent	1705	red	2-3 cm long	2	3	terminal	0	-	-	0	-	0	-	spike |, moderately to densely flowered; 	0	-	0	-	1705	red	10-16 cm long	10	16	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves in whorls of (2-)3-4(-5), basely attached;      	3	4	-	0	-	0	-	0	-	0	-	apex acute or acuminate, 	251	acute or acuminate	0	-	base acutish to cuneate, glabrous; 	2338	cuneate	71	glabrous	0	-	0	-	-	-	-	2-6(-9) x 1-3(-4) cm	-	-	-	-	-	-	2	6	0	-	-	-	-	0	-	0	-	0	rhombic to elliptic or oblanceolate	-	-	4306	ob,rhombic	fleshy to coriaceous	0	-	petiole |, glabrous; 	-	-	0	-	0	-	71	glabrous	0	-	0.2-1.5 cm long	0.2	1.5	palmately 3(-5)-veined. 	-	-	0	-	0	-	0	-	0	-	0	-	Stem glabrous, |, green or reddish. 	0	-	0	-	71	glabrous	0	-	830	green or reddish	30-100 cm long	30	100	in forests, 	0	-	0	-	from 0 up to 2400 m	0	2400
Peperomia blanda 	Fruits subbasely attached, globose to ovoid, more or less verruculose, brown,      	3899	globose to ovoid	0	-	0	-	0	-	285	brown	apex oblique with subapical stigma.	4675	oblique	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Terrestrial, epiphytic or epilithic herb, erect or ascending from rooting base. 	-	-	0	-	0	-	43	erect	-	-	-	Inflorescence |, single or few together; 	-	-	0	-	0	-	0	-	floral bracts rounded, glandular. 	6274	rounded	0	-	0	-	0	-	0	-	0	-	peduncle |, pubescent or crisp-pubescent; 	-	-	0	-	386	pubescent	0	-	0.7-3.2 cm long	0.7	3.2	terminal or axillary	0	-	-	0	-	0	-	spike |, green, densely to laxly flowered; 	0	-	0	-	782	green,red	2.5-15 cm long	2.5	15	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves opposite or in whorls of 3-7 (sometimes dimorphic), basely attached;      	3	7	-	0	-	0	-	0	-	0	-	apex acute or somewhat acuminate, 	124	acuminate,acute	0	-	base acute, pubescent usually on both sides; 	247	acute	386	pubescent	0	-	0	-	-	-	-	2-8 x 0.8-4 cm	8	-	-	0.8	-	-	2	8	0	-	margin ciliate, 	-	-	0	-	1	ciliate	0	elliptic, narrowly elliptic, or obovate, often rhombic	-	-	4306	ob,ovate,rhombic	slightly fleshy	0	-	petiole |, pubescent; 	-	-	0	-	0	-	386	pubescent	0	-	0.2-1(-1.8) cm long	0.2	1	palmately 3(-5)-veined. 	-	-	0	-	0	-	0	-	0	-	0	-	Stem villous, often fuscous, green or reddish, 	0	-	0	-	596	villous	0	-	830	green or reddish	10-20(-60) cm long	10	20	-	0	-	0	-	above 200 m, up to 1100 m	200	1100
Peperomia delascioi 	Fruits stipitate pale brown, smooth, oblong-ellipsoid, |, crowned with a persistent, conic style, 	1969	conic,ob,oblong	586	smooth	0	-	0	-	285	brown	-	0	-	0	-	0	-	0	-	1-1.1 x 0.5 mm	1-1.1	1	1.1	0.5	-	-	0	-	stigma apical, mammiform.	-	-	0	-	0	-	0	-	Terrestrial herb, non-creeping, suberect or ascending |, not rooting at nodes. 	-	-	0	-	0	-	22	creeping,erect	up to 9 cm	-	9	Inflorescence |, solitary; 	-	-	0	-	0	-	0	-	floral bracts rounded, umbonate with pale margin, 	6274	rounded	0	-	0	-	0	-	43	erect	43	erect	peduncle |, minutely hirtellous, without bracts; 	-	-	0	-	176	hirtellous	0	-	0.3-0.5(-2) cm long	0.3	0.5	terminal opposite the uppermost leaves	0	-	rachis glabrous. 	71	glabrous	0	-	spike with scattered flowers, 	0	-	0	-	1705	red	0.6-3 cm long	0.6	3	-	0	-	0	-	-	-	-	-	-	0	-	upper internodes 4-10 mm long	4	10	0	-	0	-	Uppermost leaves opposite, the others alternate;      	-	-	blade basely attached or slightly peltate, 	0	-	0	-	0	-	0	-	apex emarginate with some hairs at notch, 	0	-	106	hairs	base rounded or subtruncate, glabrous above, minutely hirtellous at base below; 	6274	rounded,truncate	71	glabrous,hirtellous	0	-	0	-	-	-	-	0.5-0.8 x 0.5-1 cm	0.5-0.8	0.5	0.8	0.5	-	-	0.5	0.8	0	-	margin not ciliate, 	-	-	0	-	1	ciliate	0	oblately suborbicular	-	-	4306	ob,suborbicular	fleshy-membranous	0	-	petiole |, minutely hirtellous; 	-	-	0	-	0	-	176	hirtellous	0	-	0.3-0.8 cm long	0.3	0.8	palmately 3-5-veined. 	3	5	0	-	0	-	0	-	0	-	0	-	Stem minutely hirtellous (spreading hairs 	0	-	0	-	106	hairs,hirtellous	211	spreading	0	-	0.1 mm long	-	-	-	0	-	0	-	above 2000 m	2000	-
Peperomia emarginella 	Fruits basely attached (according to Steyermark, on a short stipe), ellipsoid, 	0	-	0	-	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	ca. 1 mm long with apical stigma	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Epiphytic or epilithic, or epiphyllous herb, creeping and rooting at nodes, glabrous or sparsely villous. 	-	-	0	-	71	glabrous,villous	22	creeping	-	-	-	Inflorescence |, single, 	-	-	0	-	0	-	0	-	floral bracts sub-orbicular to oblong. 	5123	orbicular to oblong	0	-	0	-	0	-	43	erect	43	erect	peduncle slender, |, pinkish; 	-	-	0	-	0	-	1563	pinkish	to 1 cm long	-	1	terminal	0	-	-	0	-	0	-	spike |, laxly flowered; 	0	-	0	-	1705	red	to 1.5 cm long	-	1.5	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves alternate, basely attached;      	-	-	blade |, bright green, |, 	0	-	0	-	0	-	782	green	apex emarginate, 	0	-	0	-	base rounded or truncate, glabrous or with a few hairs; 	6392	rounded or truncate	71	glabrous,hairs	0	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	margin somewhat ciliate, 	-	-	0	-	1	ciliate	5142	orbicular or subreniform	-	-	5142	orbicular or subreniform	slightly fleshy	0	-	petiole |, often red, glabrous or with sparse hairs; 	-	-	0	-	0	-	71	glabrous,hairs	1705	red	0.1-0.5 cm long	0.1	0.5	obsoletely palmately 3-veined. 	-	-	4306	ob	0	-	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	0	-	-	-	-	-	0	-	0	-	from 0 to 600 m	0	600
Peperomia galioides 	Fruits subbasely attached, globose, brown,      	3814	globose	0	-	0	-	0	-	285	brown	apex oblique with subapical stigma.	4675	oblique	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Terrestrial, epilithic or epiphytic, cespitose herb. 	-	-	0	-	0	-	0	-	-	-	-	Inflorescence |, often in groups of 2-5; 	2	5	0	-	0	-	0	-	floral bracts rounded, glandular. 	6274	rounded	0	-	0	-	0	-	0	-	0	-	peduncle not slender, |, minutely pubescent to glabrous, winged, green; 	-	-	0	-	391	pubescent to glabrous	782	green	0.2-1.2 cm long	0.2	1.2	terminal or axillary	0	-	-	0	-	0	-	spike |, pale yellow to green, laxly flowered; 	0	-	0	-	1705	red,yellow	up to 15 cm long	-	15	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves in whorls of 1-4(-9), basely attached;      	1	4	blade |, ciliate towards obtuse apex, 	4921	obtuse	0	-	1	ciliate	0	-	-	0	-	0	-	base acutish, glabrous; 	0	-	71	glabrous	0	-	0	-	-	-	-	0.5-3.0 x 0.2-0.6 cm	0.5-3.0	0.5	3	0.2-0.6	0.2	0.6	0.5	3	0	-	-	-	-	0	-	0	-	0	narrowly spathulate, narrowly elliptic or narrowly oblanceolate, larger towards apex of stem	-	-	4306	ob,spathulate	fleshy to subcoriaceous	0	-	petiole |, minutely pubescent; 	-	-	0	-	0	-	386	pubescent	0	-	to 0.3 cm long	-	0.3	venation slightly obvious, palmately 3-veined. 	-	-	4306	ob	0	-	0	-	0	-	0	-	Stem minutely pubescent to glabrous, |, green or green with red spots or reddish. 	0	-	0	-	391	pubescent to glabrous	0	-	782	green,red	10-80 cm long	10	80	-	0	-	0	-	2250-2500 m, 2700 m	2250	2500
Peperomia glabella 	Fruits laterally attached, globose, reddish brown,      	3814	globose	0	-	23	lateral	0	-	285	brown,reddish	apex oblique with subapical stigma.	4675	oblique	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Epiphytic, stoloniferous herb, strongly glandular dotted, erect, hanging, prostrate or ascending. 	-	-	0	-	0	-	43	erect	-	-	-	Inflorescence |, single, or several in upper leaf axils, 	-	-	0	-	0	-	0	-	floral bracts rounded, glabrous and black-glandular. 	6274	rounded	0	-	71	glabrous	143	black	52	erect to pendent	52	erect to pendent	peduncle |, glabrous, black-glandular; 	-	-	0	-	71	glabrous	143	black	0.5-1.5 cm long	0.5	1.5	terminal	0	-	-	0	-	0	-	spike |, moderately densely flowered, flowers distinctly separate; 	0	-	0	-	1705	red	to 16 cm long	-	16	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves basely attached, alternate;      	-	-	blade |, densely black-glandular (when dried), |, 	0	-	0	-	0	-	143	black	apex acute to acuminate, 	250	acute to acuminate	0	-	base acute to acuminate, sometimes subobtuse, glabrous; 	250	acute to acuminate,ob,obtuse	71	glabrous	0	-	0	-	-	-	-	1.5-8(-11) x 0.5-3.5(-5) cm	-	-	-	-	-	-	1.5	8	0	-	margin ciliate near apex, 	-	-	0	-	1	ciliate	0	narrowly ovate or ovate	-	-	5167	ovate	fleshy to membranous	0	-	petiole |, usually ciliate with 2 rows of hairs; 	-	-	0	-	0	-	1	ciliate,hairs	0	-	0.5-1(-2.5) cm long	0.5	1	venation obvious, pli- or palmately 3-5-veined. 	3	5	4306	ob	0	-	0	-	0	-	0	-	Stem |, green or reddish, glabrous, except for lines of hairs decurrent from nodes. 	2584	decurrent	0	-	71	glabrous,hairs	0	-	830	green or reddish	to 15 cm long	-	15	-	0	-	0	-	from 0 up to 2400 m	-	-
Peperomia gracieana 	Young fruits flat at apex, green, mature fruits not yet collected.	3445	flat	0	-	0	-	0	-	782	green	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Epiphytic, terrestrial or epilithic herb, creeping and rooting at nodes. 	-	-	0	-	0	-	22	creeping	-	-	-	Inflorescence single, 	-	-	0	-	0	-	0	-	floral bracts rounded, glabrous. 	6274	rounded	0	-	71	glabrous	0	-	0	-	0	-	peduncle slender, |, glabrous, green; 	-	-	0	-	71	glabrous	782	green	1.5-1.7 cm long	1.5	1.7	axillary	0	-	-	0	-	0	-	spike laxly flowered, |, green; 	0	-	0	-	782	green,red	4-6 cm long	4	6	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves alternate, distinctly peltate;      	-	-	-	0	-	0	-	0	-	0	-	apex rounded, 	6274	rounded	0	-	base rounded, pilose with erect trichomes on upper surface; 	6274	rounded	316	pilose,trichomes	43	erect	0	-	-	-	-	1-4.5 x 1-3.5 cm	1-4.5	1	4.5	1-3.5	1	3.5	1	4.5	0	-	-	-	-	0	-	0	-	0	broadly elliptic to orbicular	-	-	5044	orbicular	fleshy in vivo, membranous almost transparent when dried	2060	transparent	petiole |, glabrous; 	-	-	0	-	0	-	71	glabrous	0	-	1-5(-10) cm long	1	5	venation obvious in dried state, veins 6-8 from base. 	6	8	4306	ob	0	-	0	-	0	-	0	-	Stem glabrous, |, whitish green. 	0	-	0	-	71	glabrous	0	-	782	green,whitish	40 cm long	-	-	in non-flooded moist forest, creeping and forming loose mats along creeks on rocks, on the forest floor, or on fallen logs, 	22	creeping	0	-	between 150-500 m	150	500
